angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-1.22809 -1.23792 0 2.16188 2.15471 0
-1.22784 -1.23792 0 2.16165 2.15471 0
-1.22758 -1.23792 0 2.16141 2.15471 0
-1.22732 -1.23792 0.0290741 2.16117 2.15471 0
-1.22706 -1.23786 0.0465185 2.16093 2.15465 0
-1.2268 -1.23783 0 2.16069 2.15462 0
-1.22654 -1.23783 0 2.16046 2.15462 0
-1.22628 -1.23783 0 2.16022 2.15462 0
-1.22602 -1.23783 0 2.15998 2.15462 0
-1.22576 -1.2378 0.0465185 2.15974 2.15459 0
-1.2255 -1.23774 0 2.1595 2.15453 0
-1.22524 -1.23768 0 2.15926 2.1545 -0.00581481
-1.22498 -1.23768 0 2.15903 2.1545 0
-1.22472 -1.23768 0 2.15879 2.1545 0
-1.22446 -1.23762 0.0552407 2.15855 2.15445 0
-1.2242 -1.23757 0.0465185 2.15831 2.15439 0
-1.22394 -1.23754 0 2.15807 2.15436 0
-1.22368 -1.23754 0 2.15783 2.15439 -0.0290741
-1.22342 -1.23754 0 2.15759 2.15439 0
-1.22316 -1.23754 0 2.15735 2.15439 0
-1.22291 -1.23751 0.00581481 2.15712 2.15436 0
-1.22265 -1.23745 0.0290741 2.15688 2.1543 0
-1.22239 -1.23739 0.0552407 2.15664 2.15424 0
-1.22213 -1.23733 0.0377963 2.1564 2.15419 0
-1.22187 -1.23731 0.0610556 2.15616 2.15416 0
-1.22163 -1.23731 0 2.15591 2.15416 0
-1.2214 -1.23733 -0.0232593 2.15566 2.15419 0
-1.22116 -1.23733 0 2.15542 2.15419 0
-1.22092 -1.23731 0 2.15517 2.15416 0
-1.22069 -1.23716 0.0697778 2.15492 2.15401 0
-1.22045 -1.23704 0.0872222 2.15467 2.15389 0
-1.22021 -1.23696 0.0697778 2.15442 2.15381 0
-1.21998 -1.23693 0.0465185 2.15417 2.15378 0
-1.21974 -1.23699 0 2.15392 2.15384 0
-1.21951 -1.23704 -0.0610556 2.15368 2.15389 0
-1.21927 -1.23707 0 2.15343 2.15392 0
-1.21904 -1.23693 0.0697778 2.15318 2.15378 0
