torque_1 torque_1_t torque_2 torque_2_t
-0.442152 0.240625 -0.286862 0.04375
-0.453402 0.30625 -0.277662 -0.328125
-0.465102 0.415625 -0.268062 -0.21875
-0.215135 0.371875 -0.258462 -0.240625
-0.0672183 0.39375 -0.251188 -0.196875
-0.496277 -0.065625 -0.242751 -0.284375
-0.507977 0.39375 -0.233551 -0.240625
-0.519677 0.459375 -0.223951 -0.30625
-0.531377 0.459375 -0.214351 -0.284375
-0.123102 0.503125 -0.205914 -0.240625
-0.550852 0.4375 -0.19864 -0.2625
-0.559935 0.4375 -0.191947 -0.13125
-0.571635 0.634375 -0.181003 -0.0875
-0.583335 0.65625 -0.171403 -0.0875
-0.0952517 0.56875 -0.164129 -0.35
-0.182835 0.546875 -0.156855 -0.2625
-0.611893 0.4375 -0.148418 -0.021875
-0.623593 0.56875 -0.146377 -0.109375
-0.635293 0.65625 -0.128055 -0.065625
-0.646993 0.6125 -0.118455 -0.109375
-0.604602 0.721875 -0.110418 -0.065625
-0.404352 0.35 -0.103144 -0.0875
-0.177935 0.74375 -0.0958696 -0.065625
-0.344018 0.525 -0.0885956 -0.35
-0.145077 0.65625 -0.0801585 0.021875
-0.705377 0.4375 -0.0701585 -0.30625
-0.926368 0.7 -0.0589956 0.021875
-0.727835 0.7875 -0.0493956 -0.284375
-0.737327 0.896875 -0.0405585 -0.196875
-0.113135 0.83125 -0.0363733 -0.30625
0.0382983 0.65625 -0.0310252 0.065625
-0.125577 0.4375 -0.0245141 0
-0.343952 0.56875 -0.015677 -0.153125
-0.776035 0.546875 -0.00335111 0.21875
-1.3385 0.74375 0.00857481 0.065625
-0.80111 1.15938 0.0197378 0.415625
-0.176918 0.896875 0.023923 -0.153125
0.399723 0.6125 0.0234563 0.21875
0.39939 0.415625 0.0241526 0.065625
-0.603985 0.30625 0.0329896 0.065625
-0.825427 0.546875 0.0441526 0.065625
-1.62732 0.6125 0.0599674 0.0875
-1.35159 1.09375 0.0707304 -0.175
-0.230235 1.11563 0.0749156 0.04375
0.925998 0.634375 0.07096 0.065625
1.22135 0.284375 0.0646785 0.196875
0.513657 -0.328125 0.0665378 0.021875
-0.856502 -0.196875 0.0753748 0.21875
-1.94884 0.56875 0.0935156 0.065625
-2 1.11563 0.111656 0.21875
-1.1706 1.46562 0.123982 0.21875
0.799415 0.9625 0.114503 0.021875
2 0.35 0.105604 0.065625
1.8511 -0.6125 0.0923452 0.21875
0.12029 -0.74375 0.0965304 0.175
-0.892693 -0.35 0.113508 0.240625
-2 0.21875 0.138227 0.065625
-2 0.9625 0.163345 0.065625
-1.58883 1.18125 0.175671 0.0875
0.402123 1.1375 0.174041 0.0875
2 0.0875 0.15613 0.13125
2 -0.590625 0.140545 0.240625
1.07496 -0.83125 0.13699 0.0875
-0.502777 -0.546875 0.144664 0.13125
-2 -0.240625 0.16513 0.109375
-2 0.853125 0.190249 0.240625
-2 1.07187 0.207627 0.0875
-0.995552 1.3125 0.214138 0.153125
1.74029 0.875 0.202041 0.2625
2 -0.13125 0.182967 0.153125
2 -0.634375 0.171271 0.109375
0.417057 -0.984375 0.171967 0.13125
-0.960502 -0.415625 0.187782 0.109375
-2 0.2625 0.214064 0.0875
-2 0.853125 0.239582 0.175
-1.81842 1.09375 0.255397 0.30625
-0.616802 1.18125 0.258419 0.328125
1.91363 0.678125 0.243234 0.196875
2 -0.109375 0.225323 0.196875
2 -0.765625 0.212064 0.284375
0.432948 -0.809375 0.21316 0.153125
-0.99126 -0.546875 0.224323 0.153125
-2 0.30625 0.249441 0.196875
-2 0.765625 0.271071 0.328125
-1.68563 1.05 0.286123 0.21875
0.436598 1.02812 0.284493 0.175
2 0.30625 0.270071 0.328125
2 -0.56875 0.25256 0.21875
1.71433 -0.765625 0.245116 0.175
