angle_1 angle_2
-1.19567 2.01193
-1.19567 2.01193
-1.19567 2.01193
-1.19567 2.01193
-1.19567 2.01193
-1.19567 2.01193
-1.19567 2.01193
-1.19567 2.01196
-1.19567 2.01201
-1.19567 2.01207
-1.19567 2.0121
-1.19564 2.01213
-1.19564 2.01219
-1.19561 2.01219
-1.19561 2.01222
-1.19556 2.01222
-1.19553 2.01222
-1.19547 2.01222
-1.19544 2.01222
-1.19538 2.01219
-1.19532 2.01219
-1.19526 2.01216
-1.19521 2.01213
-1.19515 2.01213
-1.19506 2.01213
-1.195 2.01213
-1.19492 2.0121
-1.19486 2.01213
-1.19474 2.01213
-1.19468 2.01213
-1.19457 2.01213
-1.19448 2.01216
-1.19436 2.01216
-1.19425 2.01216
-1.19413 2.01216
-1.19401 2.01219
-1.19387 2.01219
-1.19372 2.01222
-1.19358 2.01225
-1.19343 2.01225
-1.19326 2.01225
-1.19308 2.01225
-1.19291 2.01225
-1.19274 2.01228
-1.19256 2.01233
-1.1923 2.01228
-1.1921 2.0123
-1.19186 2.01233
-1.19163 2.01236
-1.1914 2.01239
-1.19114 2.01242
-1.19082 2.01245
-1.19053 2.01248
-1.19023 2.01254
-1.18994 2.0126
-1.18962 2.01268
-1.18928 2.01274
-1.18893 2.01286
-1.18855 2.01297
-1.18817 2.01315
-1.18776 2.01329
-1.1873 2.01344
-1.1868 2.01355
-1.18628 2.01358
-1.18576 2.01358
-1.18526 2.01358
-1.18471 2.0135
-1.18413 2.01338
-1.18355 2.01329
-1.18291 2.01315
-1.1823 2.01303
-1.18163 2.01292
-1.18099 2.0128
-1.18038 2.01271
-1.17974 2.0126
-1.1791 2.01248
-1.17843 2.01233
-1.17773 2.01216
-1.17701 2.01207
-1.17628 2.01198
-1.17558 2.01198
-1.17491 2.01204
-1.17421 2.01213
-1.17355 2.01228
-1.17285 2.01239
-1.17218 2.0126
-1.17145 2.01283
-1.17076 2.01315
-1.17012 2.0135
-1.16948 2.0139
-1.16884 2.01431
-1.16814 2.01463
-1.16744 2.01495
-1.16671 2.01518
-1.16599 2.01536
