torque_1 torque_2
0.0346072 -0.790774
0.0237572 -0.779674
0.0129072 -0.768574
0.00205722 -0.762708
-0.00844278 -0.746084
-0.0192928 -0.730623
-0.0301428 -0.720976
-0.0409928 -0.70756
-0.0518428 -0.694715
-0.0626928 -0.684197
-0.0731928 -0.668736
-0.0840428 -0.655019
-0.0948928 -0.638976
-0.104725 -0.624097
-0.100457 -0.61823
-0.105433 -0.603932
-0.114247 -0.590797
-0.14167 -0.579697
-0.135366 -0.572376
-0.139674 -0.562721
-0.142674 -0.553637
-0.164282 -0.539611
-0.185076 -0.526458
-0.194909 -0.515058
-0.188605 -0.509463
-0.188466 -0.49253
-0.206584 -0.48083
-0.217871 -0.470874
-0.213893 -0.464126
-0.22989 -0.454171
-0.25048 -0.441599
-0.260312 -0.429899
-0.247381 -0.419071
-0.26201 -0.404463
-0.292921 -0.399741
-0.277314 -0.386015
-0.289822 -0.37228
-0.305615 -0.361452
-0.330566 -0.350624
-0.340398 -0.338924
-0.349563 -0.328969
-0.337299 -0.318723
-0.363413 -0.306441
-0.37906 -0.295613
-0.387875 -0.285958
-0.398725 -0.274558
-0.38995 -0.26403
-0.412575 -0.253502
-0.42924 -0.242102
-0.423604 -0.231574
-0.439251 -0.221047
-0.459405 -0.209647
-0.469237 -0.199119
-0.478052 -0.189463
-0.488902 -0.178063
-0.476288 -0.167536
-0.493098 -0.157008
-0.519067 -0.145608
-0.510292 -0.13508
-0.538732 -0.124552
-0.549232 -0.113152
-0.536968 -0.102624
-0.559593 -0.0920967
-0.578729 -0.0815689
-0.566465 -0.0710411
-0.579436 -0.0605133
-0.584762 -0.0508578
-0.615673 -0.0412022
-0.625506 -0.0306744
-0.61987 -0.0201467
-0.621707 -0.0104911
-0.653635 3.66667e-05
-0.640354 0.00999222
-0.646843 0.0196478
-0.657634 0.0293033
-0.688545 0.0389589
-0.694016 0.0471607
-0.690038 0.05857
-0.684693 0.0673533
-0.709789 0.0770089
-0.723401 0.0866644
-0.715934 0.09662
-0.732831 0.104531
-0.73365 0.113314
-0.741447 0.12327
-0.735084 0.131181
-0.747388 0.141709
-0.74719 0.14992
-0.761965 0.160448
-0.769412 0.169231
-0.782007 0.174535
-0.789804 0.187098
-0.790419 0.191229
-0.794727 0.204964
-0.798018 0.212294
-0.820729 0.221659
-0.835504 0.22609
-0.839812 0.240398
-0.834467 0.249481
-0.844735 0.257392
-0.844537 0.265603
-0.855473 0.274387
-0.858764 0.282298
-0.865544 0.290509
-0.869502 0.299292
-0.879771 0.307503
-0.891057 0.316287
-0.893997 0.324489
-0.901445 0.333853
-0.908224 0.341764
-0.922649 0.350548
-0.929429 0.358459
-0.933387 0.367242
-0.940167 0.375153
-0.952411 0.383064
-0.950555 0.391548
-0.964312 0.399459
-0.973068 0.40737
-0.970544 0.415281
-0.990784 0.424064
-0.991398 0.431976
-0.9912 0.439887
-0.99763 0.447798
-1.00194 0.456581
-1.01186 0.464792
-1.0148 0.472703
-1.03437 0.480614
-1.03251 0.489398
-1.02513 0.496437
-1.04122 0.504348
-1.05113 0.512259
-1.06004 0.519298
-1.06783 0.528081
-1.06045 0.53512
-1.07203 0.542159
-1.07613 0.55007
-1.08053 0.556537
-1.08731 0.564448
-1.09272 0.571487
-1.09711 0.577653
-1.10253 0.584692
-1.10029 0.590859
-1.1012 0.597326
-1.11359 0.604364
-1.10801 0.609659
-1.1124 0.615826
-1.11913 0.621992
-1.11355 0.627587
-1.12355 0.632581
-1.12591 0.635803
-1.11615 0.640198
-1.12397 0.64372
-1.12249 0.647242
-1.11555 0.650764
-1.12352 0.653414
-1.11506 0.656937
-1.12652 0.659587
-1.11885 0.660492
-1.113 0.66227
-1.1153 0.663176
-1.11295 0.664953
-1.10144 0.665859
-1.10075 0.666764
-1.09971 0.66767
-1.09764 0.668003
-1.08628 0.668037
-1.0784 0.66807
-1.08114 0.667231
-1.07361 0.667264
-1.08333 0.666426
-1.06746 0.665587
-1.05885 0.663003
-1.06159 0.662164
-1.05168 0.660453
-1.04444 0.658742
-1.04631 0.656459
-1.03073 0.653876
-1.02329 0.651292
-1.00436 0.647837
-1.00158 0.645253
-1.00039 0.640053
-0.994605 0.636898
-0.984984 0.633442
-0.972021 0.629114
-0.9624 0.625659
-0.955251 0.621331
-0.953917 0.617303
-0.945459 0.613848
-0.927844 0.60952
-0.924184 0.605192
-0.917384 0.601164
-0.909218 0.595964
-0.897562 0.590764
-0.899862 0.585564
-0.878903 0.580664
-0.873062 0.575464
-0.859081 0.570264
-0.863707 0.565364
-0.852051 0.560164
-0.844902 0.556137
-0.833596 0.551837
-0.824471 0.548409
-0.81491 0.54062
-0.801279 0.53662
-0.799277 0.53232
-0.781139 0.527148
-0.776811 0.523148
-0.768995 0.518848
-0.757689 0.514548
-0.765136 0.509676
-0.750342 0.505376
-0.73671 0.501076
-0.731365 0.496203
-0.723548 0.491903
-0.718058 0.487903
-0.718236 0.484476
-0.706931 0.480176
-0.706092 0.476176
-0.692315 0.472748
-0.681009 0.466713
-0.650079 0.464448
-0.663341 0.459576
-0.645871 0.455276
-0.638054 0.450976
-0.632709 0.446103
-0.626346 0.440059
-0.631321 0.436059
-0.614056 0.432631
-0.614234 0.429503
-0.61325 0.426076
-0.600636 0.422948
-0.594855 0.420692
-0.594538 0.418137
-0.577418 0.414137
-0.578614 0.411581
-0.571815 0.408453
-0.561527 0.405026
-0.559234 0.40277
-0.549964 0.400214
-0.556975 0.397959
-0.545234 0.396576
-0.542591 0.39402
-0.551637 0.393509
-0.543384 0.392126
-0.540656 0.392187
-0.539381 0.390803
-0.530837 0.390864
-0.536045 0.390353
-0.535787 0.389842
-0.533059 0.389903
-0.523002 0.389364
-0.533734 0.389398
-0.537633 0.388859
-0.535221 0.388892
-0.530689 0.389798
-0.53546 0.391003
-0.534417 0.391909
-0.544858 0.393987
-0.546808 0.396064
-0.547799 0.398714
-0.55228 0.401664
-0.55676 0.404314
-0.564584 0.408137
-0.573221 0.411659
-0.569271 0.416353
-0.578258 0.419294
-0.582302 0.426314
-0.590794 0.431009
-0.602834 0.437148
-0.606878 0.442714
-0.604962 0.448853
-0.613163 0.455292
-0.627529 0.461731
-0.645093 0.469614
-0.647684 0.476926
-0.656902 0.484237
-0.673303 0.49212
-0.671096 0.500303
-0.681537 0.509359
-0.69628 0.518114
-0.719513 0.52717
-0.710038 0.537098
-0.722659 0.546726
-0.734931 0.556653
