angle_1 angle_2
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890132 1.96093
-0.890103 1.9609
-0.890103 1.9609
-0.890103 1.9609
-0.890074 1.96087
-0.890074 1.96087
-0.890045 1.96084
-0.890045 1.96084
-0.890016 1.96081
-0.889987 1.96079
-0.889958 1.96076
-0.889929 1.96073
-0.889929 1.96073
-0.88987 1.96067
-0.889812 1.96061
-0.889783 1.96058
-0.889725 1.96052
-0.889696 1.96049
-0.889638 1.96044
-0.88958 1.96038
-0.889522 1.96032
-0.889434 1.96023
-0.889376 1.96017
-0.889347 1.96015
-0.889289 1.96009
-0.889202 1.96
-0.889144 1.95994
-0.889085 1.95988
-0.889027 1.95983
-0.888969 1.95977
-0.888882 1.95968
-0.888824 1.95962
-0.888737 1.95954
-0.888678 1.95948
-0.888562 1.95936
-0.888475 1.95927
-0.888388 1.95919
-0.888242 1.95904
-0.888097 1.9589
-0.887981 1.95878
-0.887835 1.95863
-0.88769 1.95849
-0.887515 1.95831
-0.887399 1.9582
-0.887283 1.95808
-0.887167 1.95797
-0.887021 1.95782
-0.886905 1.9577
-0.88676 1.95756
-0.886585 1.95738
-0.886382 1.95718
-0.886236 1.95706
-0.88612 1.95695
-0.885975 1.9568
-0.885829 1.95666
-0.885713 1.95654
-0.885568 1.95642
-0.885451 1.95631
-0.885306 1.95616
-0.88516 1.95602
-0.884986 1.95584
-0.884841 1.9557
-0.884666 1.95552
-0.88455 1.95541
-0.884375 1.95523
-0.884259 1.95512
-0.884114 1.95497
-0.883939 1.9548
-0.883794 1.95465
-0.883649 1.95451
-0.883474 1.95433
-0.8833 1.95416
-0.883125 1.95398
-0.88298 1.95384
-0.882718 1.95357
-0.882544 1.9534
-0.88234 1.9532
-0.882166 1.95302
-0.881962 1.95282
-0.881759 1.95262
-0.881526 1.95238
-0.881294 1.95215
-0.881032 1.95189
-0.880799 1.95166
-0.88045 1.95131
-0.880218 1.95107
-0.879927 1.95075
-0.879607 1.95043
-0.879317 1.95014
-0.879055 1.94988
-0.878764 1.94959
-0.878503 1.94933
-0.878212 1.94904
-0.87795 1.94878
-0.877688 1.94852
-0.877427 1.94825
-0.877136 1.94796
-0.876845 1.94767
-0.876555 1.94738
-0.876177 1.947
-0.875857 1.94668
-0.875537 1.94636
-0.875159 1.94599
-0.874839 1.94567
-0.874548 1.94538
-0.874229 1.94506
-0.873909 1.94474
-0.873589 1.94442
-0.873182 1.94401
-0.872804 1.94363
-0.872426 1.94325
-0.87199 1.94282
-0.871583 1.94241
-0.871176 1.942
-0.870798 1.94163
-0.870391 1.94122
-0.870042 1.94087
-0.869635 1.94046
-0.869257 1.94008
-0.86885 1.93968
-0.868472 1.9393
-0.868065 1.93889
-0.867658 1.93849
-0.867251 1.93808
-0.866844 1.93767
-0.866437 1.93726
-0.866001 1.93683
-0.865594 1.93642
-0.865158 1.93599
-0.864692 1.93552
-0.864256 1.93508
-0.863791 1.93462
-0.863384 1.93421
-0.862919 1.93375
-0.862483 1.93331
-0.862047 1.93287
-0.861581 1.93241
-0.861087 1.93191
-0.860506 1.93133
-0.86004 1.93087
-0.859575 1.9304
-0.859139 1.92997
-0.858645 1.92947
-0.858209 1.92904
-0.857715 1.92854
-0.857249 1.92808
-0.856842 1.92767
-0.856406 1.92723
-0.85597 1.9268
-0.855534 1.92636
-0.855127 1.92595
-0.854662 1.92549
-0.854226 1.92505
-0.85379 1.92462
-0.853324 1.92415
-0.852888 1.92372
-0.85251 1.92334
-0.852132 1.92296
-0.851783 1.92261
-0.851405 1.92223
-0.851057 1.92188
-0.850679 1.92151
-0.85033 1.92116
-0.849952 1.92078
-0.849574 1.9204
-0.849196 1.92002
-0.848847 1.91967
-0.848469 1.9193
-0.848091 1.91892
-0.847742 1.91857
-0.847335 1.91816
-0.846957 1.91778
-0.846579 1.91741
-0.846201 1.91703
-0.845852 1.91668
-0.845503 1.91633
-0.845184 1.91601
-0.844864 1.91569
-0.844486 1.91531
-0.844137 1.91496
-0.843788 1.91462
-0.843439 1.91427
-0.843061 1.91389
-0.842741 1.91357
-0.842393 1.91322
-0.842073 1.9129
-0.841782 1.91261
-0.841491 1.91232
-0.8412 1.91203
-0.840881 1.91171
-0.84059 1.91142
-0.84027 1.9111
-0.839979 1.91081
-0.83966 1.91049
-0.839398 1.91023
-0.839107 1.90993
-0.838845 1.90967
-0.838584 1.90941
-0.838322 1.90915
-0.838031 1.90886
-0.83777 1.9086
-0.837537 1.90836
-0.837275 1.9081
-0.837043 1.90787
-0.83681 1.90764
-0.836549 1.90738
-0.836316 1.90714
-0.836083 1.90691
-0.835851 1.90668
-0.835647 1.90647
-0.835415 1.90624
-0.835211 1.90604
-0.835008 1.90584
-0.834775 1.9056
-0.834572 1.9054
-0.834339 1.90517
-0.834135 1.90496
-0.833932 1.90476
-0.833728 1.90456
-0.833554 1.90438
-0.83335 1.90418
-0.833147 1.90397
-0.832973 1.9038
-0.832769 1.9036
-0.832595 1.90342
-0.83242 1.90325
-0.832188 1.90302
-0.832013 1.90284
-0.83181 1.90264
-0.831635 1.90246
-0.831461 1.90229
-0.831286 1.90211
-0.831083 1.90191
-0.830879 1.90171
-0.830705 1.90153
-0.830501 1.90133
-0.830298 1.90113
-0.830123 1.90095
-0.82992 1.90072
-0.829745 1.90054
-0.829542 1.90034
-0.829251 1.90002
-0.829018 1.89979
-0.828815 1.89953
-0.82864 1.89935
-0.828437 1.89912
-0.828233 1.89892
-0.828001 1.89868
-0.827797 1.89845
-0.827565 1.89822
-0.827332 1.89799
-0.827129 1.89778
-0.826838 1.89746
-0.826605 1.89723
-0.826344 1.89694
-0.826111 1.89671
-0.825878 1.89647
-0.825559 1.89612
-0.825326 1.89589
