torque_1 torque_2
-0.0466252 -0.38368
-0.0581752 -0.37288
-0.0693752 -0.36238
-0.0805752 -0.35188
-0.0921252 -0.34108
-0.103325 -0.33058
-0.114875 -0.31978
-0.126075 -0.30928
-0.137275 -0.29848
-0.148825 -0.28798
-0.160025 -0.27718
-0.171575 -0.26668
-0.182775 -0.25588
-0.193975 -0.24538
-0.205525 -0.23458
-0.216725 -0.22408
-0.228275 -0.21328
-0.239475 -0.20278
-0.250675 -0.19198
-0.262225 -0.18148
-0.273425 -0.17068
-0.284625 -0.15988
-0.296175 -0.14938
-0.307375 -0.13858
-0.318575 -0.12808
-0.330125 -0.11728
-0.341325 -0.10648
-0.352525 -0.09598
-0.364075 -0.08518
-0.375275 -0.07438
-0.386475 -0.06388
-0.398025 -0.05308
-0.409225 -0.04228
-0.420425 -0.03148
-0.431975 -0.02068
-0.443175 -0.00988
-0.454725 0.00122
-0.465925 0.01202
-0.477125 0.02282
-0.488675 0.03362
-0.499875 0.04442
-0.510408 0.0543478
-0.521608 0.0651478
-0.532808 0.0759478
-0.54334 0.0858756
-0.55454 0.0969756
-0.562396 0.106903
-0.576272 0.117703
-0.577151 0.127631
-0.574891 0.137559
-0.60717 0.147787
-0.617352 0.157714
-0.628902 0.168514
-0.622948 0.17757
-0.647232 0.186926
-0.646134 0.196853
-0.666929 0.205909
-0.658504 0.215837
-0.686626 0.225192
-0.684161 0.234248
-0.686348 0.243303
-0.688681 0.251787
-0.70401 0.260842
-0.723496 0.27077
-0.730335 0.280126
-0.735344 0.288309
-0.747997 0.297364
-0.750184 0.30672
-0.75621 0.315776
-0.768864 0.324831
-0.777011 0.333314
-0.786176 0.34207
-0.801301 0.350253
-0.806977 0.359309
-0.817596 0.36662
-0.822254 0.374803
-0.83389 0.382987
-0.827209 0.389426
-0.84844 0.395564
-0.840451 0.402876
-0.839585 0.409314
-0.849186 0.4143
-0.844977 0.42132
-0.86141 0.428631
-0.861562 0.435942
-0.872181 0.443253
-0.874804 0.449692
-0.888911 0.457003
-0.888046 0.463442
-0.883836 0.469009
-0.904195 0.473703
-0.901003 0.478689
-0.913947 0.488326
-0.916571 0.494764
-0.92966 0.501203
-0.923997 0.508514
-0.933598 0.514372
-0.953521 0.523137
-0.949166 0.529576
-0.958767 0.536014
-0.954558 0.541581
-0.964159 0.54802
-0.978557 0.553887
-0.978709 0.561198
-0.983453 0.566764
-0.988257 0.574076
-0.99088 0.580514
-1.00179 0.586081
-1.00209 0.59252
-1.01401 0.599259
-1.01329 0.604526
-1.01106 0.610092
-1.01964 0.615659
-1.02227 0.622098
-1.03129 0.625048
-1.03254 0.630614
-1.0308 0.635309
-1.04171 0.640576
-1.04579 0.64527
-1.04603 0.649964
-1.04327 0.653787
-1.03354 0.657609
-1.04837 0.660559
-1.0569 0.664381
-1.05356 0.664714
-1.04383 0.668537
-1.0538 0.669742
-1.05032 0.673855
-1.05135 0.673026
-1.0499 0.675976
-1.05057 0.678053
