angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-1.2963 -1.30048 0 2.39752 2.36695 0
-1.29616 -1.30048 0 2.39732 2.36695 0
-1.29602 -1.30048 0 2.39711 2.36695 0
-1.29588 -1.30048 0 2.3969 2.36695 0
-1.29574 -1.30048 0 2.3967 2.36701 -0.0465185
-1.29559 -1.30048 0 2.39649 2.36707 0
-1.29545 -1.30048 0 2.39629 2.36715 -0.0377963
-1.29531 -1.30048 0 2.39608 2.36727 -0.0465185
-1.29517 -1.30048 0 2.39587 2.36741 -0.093037
-1.29503 -1.30048 0 2.39567 2.36759 -0.0785
-1.29489 -1.30048 0 2.39546 2.36779 -0.110481
-1.29475 -1.30048 0 2.39526 2.36802 -0.110481
-1.29461 -1.30048 0 2.39505 2.36826 -0.133741
-1.29447 -1.30048 0 2.39484 2.36849 -0.151185
-1.29433 -1.30048 0 2.39464 2.36872 -0.142463
-1.29418 -1.30045 0 2.39443 2.36893 -0.125019
-1.29404 -1.30045 0 2.39422 2.36913 -0.119204
-1.2939 -1.3004 0.0610556 2.39402 2.36927 -0.110481
-1.29376 -1.30037 0.0232593 2.39381 2.36942 -0.093037
-1.29362 -1.30034 0.0232593 2.39361 2.36954 -0.0872222
-1.29348 -1.30031 0.0232593 2.3934 2.36965 -0.0610556
-1.29334 -1.30028 0.0552407 2.39319 2.36974 -0.0785
-1.2932 -1.30022 0.0377963 2.39299 2.36977 -0.0552407
-1.29306 -1.30022 0.0232593 2.39278 2.36983 -0.0697778
-1.29292 -1.30019 0.0290741 2.39258 2.36989 -0.0465185
-1.29278 -1.30019 0 2.39237 2.36991 -0.00581481
-1.29264 -1.30016 0.0232593 2.39216 2.37 -0.00581481
-1.2925 -1.30013 0.0377963 2.39196 2.37 -0.0377963
-1.29235 -1.30013 0 2.39175 2.37006 0
-1.29221 -1.30013 0 2.39154 2.37012 0
-1.29207 -1.30013 0 2.39134 2.37018 -0.0232593
-1.29193 -1.3001 0 2.39113 2.37018 -0.0377963
-1.29179 -1.3001 0 2.39093 2.37023 -0.0377963
-1.29172 -1.30008 0 2.3907 2.37023 -0.0290741
-1.29165 -1.30008 0 2.39047 2.37026 -0.0465185
-1.29159 -1.30008 0 2.39024 2.37026 0
-1.29152 -1.30008 0 2.39001 2.37026 0
-1.29146 -1.30008 0 2.38978 2.37026 0
-1.2914 -1.30008 0 2.38955 2.37026 0
-1.29133 -1.30008 0 2.38933 2.37026 0
-1.29127 -1.30008 0 2.3891 2.37026 0
-1.2912 -1.30008 0 2.38887 2.37026 0
