torque_1 torque_1_t torque_2 torque_2_t
-0.404753 0.04375 -0.702213 0.13125
-0.419153 0.109375 -0.699813 -0.4375
-0.433553 0.13125 -0.697413 -0.546875
-0.447953 0 -0.695013 -0.546875
-0.462353 0.284375 -0.692313 -0.634375
-0.476753 0.546875 -0.689913 -0.765625
-0.491153 0.371875 -0.687513 -0.721875
-0.505553 0.21875 -0.684241 -0.74375
-0.519953 0.459375 -0.681841 -0.7875
-0.533045 0.74375 -0.682921 -0.83125
-0.547445 0.525 -0.678776 -0.91875
-0.441624 0.30625 -0.674923 -0.853125
-0.571012 0.634375 -0.673976 -0.896875
-0.3079 0.56875 -0.66895 -0.91875
-0.566813 0.525 -0.665969 -0.875
-0.608978 0.634375 -0.663569 -0.503125
-0.62207 0.721875 -0.663776 -0.896875
-0.35765 0.56875 -0.660213 -0.56875
-0.528032 0.6125 -0.660139 -0.7875
-0.350834 0.546875 -0.65773 -0.853125
-0.667895 0.590625 -0.656202 -0.91875
-0.374401 0.809375 -0.655256 -0.875
-0.574715 0.546875 -0.653719 -0.875
-0.470202 0.83125 -0.652191 -0.853125
-0.685504 0.634375 -0.654443 -0.875
-0.419776 0.721875 -0.649708 -0.853125
-0.546547 0.809375 -0.649052 -0.875
-0.353503 0.4375 -0.648397 -0.875
-0.480275 0.35 -0.648313 -0.875
-0.535669 0.503125 -0.649693 -0.875
-0.591064 0.56875 -0.644086 -0.9625
-0.557927 0.765625 -0.642558 -0.83125
-0.495717 0.853125 -0.64451 -0.809375
-0.623347 0.7 -0.644154 -0.853125
-0.704749 0.721875 -0.640056 -0.91875
-0.553558 0.83125 -0.640319 -0.853125
-0.650805 0.875 -0.643771 -0.896875
-0.66083 0.853125 -0.643743 -0.896875
-0.787151 0.525 -0.644587 -0.83125
-0.637269 1.11563 -0.641643 -0.896875
-0.574609 0.984375 -0.641615 -0.875
-0.541023 0.853125 -0.640715 -0.853125
-0.709647 0.525 -0.643013 -0.875
-0.837276 1.02812 -0.640941 -0.7875
-0.6464 0.765625 -0.635971 -0.7875
-0.626042 0.56875 -0.635643 -1.02812
-0.474851 0.48125 -0.636197 -0.853125
-0.557562 0.896875 -0.637041 -0.853125
-0.88871 0.9625 -0.634969 -0.7875
-0.898735 1.05 -0.633197 -0.853125
-0.750161 1.18125 -0.630552 -0.853125
-0.554051 0.984375 -0.630224 -0.74375
-0.532385 1.09375 -0.631069 -0.853125
-0.49749 1.07187 -0.627543 -0.853125
-0.901324 0.48125 -0.62548 -0.7875
-1.02895 1.18125 -0.624289 -0.7875
-0.733701 1.18125 -0.619891 -0.853125
-0.53759 1.29062 -0.618991 -0.809375
-0.54369 1.02812 -0.620117 -0.809375
-0.712314 0.9625 -0.619217 -0.765625
-0.678728 0.940625 -0.614528 -0.7875
-0.89358 1.05 -0.611884 -0.91875
-0.815075 0.984375 -0.606323 -0.7
-0.749798 1.02812 -0.603678 -0.7875
-0.594682 0.9625 -0.601897 -0.875
-0.644393 0.940625 -0.601578 -0.83125
-0.769406 0.940625 -0.598634 -0.809375
-0.776814 1.11563 -0.597734 -0.809375
-0.829142 0.940625 -0.593917 -0.809375
-0.676643 0.984375 -0.593017 -0.853125
-0.682743 0.9625 -0.590073 -0.809375
-0.805139 0.984375 -0.588873 -0.83125
-0.768937 0.984375 -0.5871 -0.765625
-0.702351 0.9625 -0.5859 -0.56875
-0.57631 1.3125 -0.583256 -0.7875
-0.552027 0.875 -0.585254 -0.91875
-0.719343 0.91875 -0.579984 -0.525
-0.960652 1.26875 -0.577049 -0.809375
-0.92445 1.20312 -0.57236 -0.853125
-0.741568 1.15938 -0.573204 -0.7875
-0.380317 1.07187 -0.572004 -0.809375
-0.455177 1.02812 -0.571676 -0.7875
-0.663488 0.371875 -0.569032 -0.809375
-0.877031 1.07187 -0.565215 -0.7875
-0.958433 1.225 -0.559654 -0.809375
-0.804626 0.9625 -0.556137 -0.48125
-0.485677 0.984375 -0.555819 -0.7
-0.294496 0.940625 -0.554337 -0.415625
-0.529264 0.74375 -0.553147 -0.984375
-0.781185 0.809375 -0.549058 -0.590625
-0.903581 0.809375 -0.542924 -0.83125
-0.704854 1.02812 -0.54028 -0.809375
-0.47182 0.83125 -0.539089 -0.896875
-0.311021 0.74375 -0.537036 -0.940625
-0.340962 0.678125 -0.536717 -0.74375
-0.635186 0.678125 -0.531747 -0.721875
-0.713971 0.7875 -0.529102 -0.65625
-0.602466 0.809375 -0.525295 -0.721875
-0.604641 0.74375 -0.522069 -0.678125
-0.562755 0.765625 -0.520597 -0.7875
-0.520011 0.853125 -0.517952 -0.634375
-0.491803 0.7 -0.51618 -0.678125
-0.361837 0.525 -0.515861 -0.7875
-0.494845 0.765625 -0.514089 -0.765625
-0.495712 0.6125 -0.511445 -0.809375
-0.659961 0.590625 -0.506184 -0.634375
-0.576222 0.678125 -0.502667 -0.503125
-0.505712 0.678125 -0.497406 -0.634375
-0.37182 0.590625 -0.500004 -0.853125
-0.210163 0.6125 -0.49358 -0.678125
-0.409314 0.459375 -0.493552 -0.459375
-0.455101 0.590625 -0.492361 -0.6125
-0.618041 0.590625 -0.487391 -0.503125
-0.618908 0.634375 -0.483874 -0.765625
-0.339646 0.678125 -0.484137 -0.765625
-0.174064 0.590625 -0.489052 -0.6125
-0.173622 0.2625 -0.488443 -0.6125
-0.334396 0.459375 -0.49016 -0.590625
-0.570022 0.48125 -0.487515 -0.65625
-0.6145 0.546875 -0.485743 -0.525
-0.529452 0.65625 -0.486587 -0.590625
-0.410098 0.634375 -0.487432 -0.91875
-0.24844 0.6125 -0.491765 -0.6125
-0.0841663 0.56875 -0.493482 -0.48125
-0.518527 0.371875 -0.496943 -0.48125
-0.608783 0.6125 -0.492254 -0.459375
-0.68626 0.678125 -0.492226 -0.6125
-0.572139 0.721875 -0.492199 -0.678125
-0.455401 0.634375 -0.492171 -0.74375
-0.367737 0.7 -0.49476 -0.765625
-0.367295 0.809375 -0.495604 -0.590625
-0.456242 0.634375 -0.49296 -0.678125
-0.735929 0.678125 -0.492932 -0.56875
-0.739413 0.74375 -0.49116 -0.415625
-0.6266 0.809375 -0.487343 -0.590625
-0.423948 0.7875 -0.487606 -0.459375
-0.350821 0.721875 -0.491649 -0.35
-0.466676 0.65625 -0.490167 -0.65625
-0.584697 0.721875 -0.491884 -0.765625
-0.675402 0.721875 -0.490684 -0.4375
-0.710576 0.7875 -0.489784 -0.634375
-0.525078 0.875 -0.488302 -0.7
-0.555019 0.7 -0.490891 -0.721875
-0.477967 0.765625 -0.496969 -0.590625
-0.554136 0.9625 -0.50013 -0.65625
-0.689311 0.7875 -0.500102 -0.678125
-0.811707 0.83125 -0.502719 -0.4375
-0.698444 0.875 -0.504163 -0.721875
