angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-1.15086 -1.16447 0 1.75233 1.72994 0
-1.15065 -1.16447 0 1.75237 1.72994 0
-1.15045 -1.16447 0 1.75241 1.72994 0
-1.15025 -1.16442 0.0290741 1.75245 1.72991 0
-1.15004 -1.16436 0.0697778 1.75249 1.72985 0
-1.14984 -1.16427 0.0610556 1.75253 1.72979 -0.0465185
-1.14963 -1.16427 0 1.75257 1.72985 -0.0377963
-1.14943 -1.16427 0 1.75261 1.72994 -0.0697778
-1.14922 -1.16427 0 1.75265 1.73005 -0.0697778
-1.14902 -1.16427 0 1.75269 1.73017 -0.0785
-1.14881 -1.16415 0.0785 1.75272 1.7302 -0.0785
-1.14861 -1.16401 0.0785 1.75276 1.7302 -0.0785
-1.14841 -1.16389 0.0697778 1.7528 1.73026 -0.0872222
-1.1482 -1.16386 0 1.75284 1.7304 -0.093037
-1.148 -1.16386 0 1.75288 1.73058 -0.101759
-1.14779 -1.16386 0 1.75292 1.73072 -0.101759
-1.14759 -1.16378 0 1.75296 1.73084 -0.093037
-1.14738 -1.1636 0.101759 1.75299 1.73084 -0.110481
-1.14718 -1.1634 0.125019 1.75303 1.73084 -0.119204
-1.14697 -1.16317 0.142463 1.75307 1.73081 -0.119204
-1.14677 -1.16302 0.0785 1.75311 1.73087 -0.125019
-1.14656 -1.16302 0.014537 1.75315 1.7311 -0.119204
-1.14636 -1.16302 0 1.75318 1.73133 -0.133741
-1.14615 -1.16305 0 1.75322 1.73159 -0.142463
-1.14595 -1.16296 0 1.75326 1.73177 -0.151185
-1.14574 -1.16276 0.110481 1.7533 1.73188 -0.151185
-1.14554 -1.16247 0.157 1.75333 1.73188 -0.165722
-1.14535 -1.16215 0.197704 1.75339 1.73188 -0.174444
-1.14516 -1.16189 0.151185 1.75346 1.73194 -0.188981
-1.14497 -1.1618 0.0785 1.75353 1.7322 -0.188981
-1.14478 -1.1618 0 1.75359 1.73261 -0.206426
-1.1446 -1.1618 0 1.75366 1.73302 -0.220963
-1.14441 -1.1618 0 1.75373 1.73345 -0.238407
-1.14422 -1.16171 0.0290741 1.75379 1.73383 -0.238407
-1.14404 -1.16142 0.142463 1.75386 1.73404 -0.261667
-1.14385 -1.1611 0.183167 1.75392 1.73418 -0.261667
-1.14366 -1.16078 0.183167 1.75399 1.73438 -0.284926
-1.14347 -1.16055 0.151185 1.75406 1.73468 -0.30237
-1.14329 -1.1604 0.0872222 1.75412 1.73529 -0.316907
-1.1431 -1.16038 0 1.75419 1.73593 -0.32563
-1.14291 -1.16038 0 1.75425 1.73654 -0.343074
-1.14272 -1.16038 0 1.75432 1.73712 -0.316907
-1.14253 -1.16023 0.0785 1.75438 1.73758 -0.316907
-1.14235 -1.15979 0.157 1.75445 1.73793 -0.30237
-1.14216 -1.15936 0.215148 1.75451 1.73805 -0.284926
-1.14197 -1.15904 0.188981 1.75458 1.73816 -0.270389
-1.14178 -1.15881 0.125019 1.75465 1.73834 -0.220963
-1.14159 -1.15875 0.00581481 1.75471 1.73866 -0.183167
-1.14141 -1.15875 0 1.75478 1.73898 -0.188981
-1.14122 -1.15875 0 1.75484 1.73933 -0.165722
-1.14103 -1.15863 0.0785 1.7549 1.73947 -0.133741
-1.14084 -1.15828 0.142463 1.75497 1.73933 -0.093037
-1.14065 -1.1579 0.183167 1.75503 1.73915 -0.110481
-1.14047 -1.15755 0.174444 1.7551 1.73898 -0.0610556
-1.14028 -1.15732 0.119204 1.75516 1.73889 -0.0785
-1.14009 -1.15726 0 1.75523 1.73895 -0.0785
-1.1399 -1.15726 0 1.75529 1.73909 -0.0785
-1.13971 -1.15726 0 1.75536 1.73921 -0.0785
-1.13952 -1.15715 0.0377963 1.75542 1.73924 -0.0697778
-1.13934 -1.15694 0.125019 1.75548 1.73915 -0.0610556
-1.13915 -1.15662 0.165722 1.75555 1.73898 -0.0610556
-1.13896 -1.1563 0.174444 1.75561 1.73877 -0.0697778
-1.13877 -1.15607 0.142463 1.75568 1.73863 -0.0465185
-1.13859 -1.15596 0.0552407 1.75575 1.73863 -0.0610556
-1.13841 -1.1559 0 1.75583 1.73863 -0.0697778
-1.13823 -1.15587 0 1.75591 1.73872 -0.0552407
-1.13805 -1.15581 0.0465185 1.75598 1.73875 -0.0232593
-1.13787 -1.15567 0.0785 1.75606 1.73866 -0.0465185
-1.13769 -1.15546 0.119204 1.75614 1.73851 -0.0232593
-1.13751 -1.1552 0.142463 1.75622 1.73834 -0.00581481
-1.13733 -1.15503 0.101759 1.7563 1.73822 -0.014537
-1.13715 -1.15491 0.0785 1.75638 1.73816 -0.014537
-1.13697 -1.15488 0.0377963 1.75645 1.73816 0
-1.13679 -1.15488 0 1.75653 1.73819 0
-1.13661 -1.15488 0 1.75661 1.73819 0
-1.13643 -1.15479 0.0465185 1.75669 1.73811 0
-1.13625 -1.15459 0.0872222 1.75677 1.7379 0
-1.13607 -1.15439 0.110481 1.75684 1.7377 0
-1.13589 -1.15421 0.110481 1.75692 1.73752 0
-1.13571 -1.15412 0.0377963 1.757 1.73744 0
-1.13553 -1.1541 0.0465185 1.75708 1.73741 0
-1.13535 -1.15415 0 1.75715 1.73747 0
-1.13517 -1.15415 0 1.75723 1.73747 0
-1.13499 -1.1541 0 1.75731 1.73741 0
-1.13481 -1.15395 0.093037 1.75739 1.73729 0
-1.13463 -1.15375 0.110481 1.75746 1.73709 -0.00581481
-1.13445 -1.15354 0.110481 1.75754 1.73691 0
-1.13426 -1.15346 0.0697778 1.75762 1.73683 0
-1.13408 -1.15346 0 1.75769 1.73688 -0.0232593
-1.1339 -1.15348 0 1.75777 1.73697 0
-1.13372 -1.15351 0 1.75785 1.73706 -0.0465185
-1.13354 -1.1534 0.0552407 1.75792 1.73706 -0.0377963
-1.13336 -1.15314 0.110481 1.758 1.73691 -0.0785
-1.13318 -1.1529 0.119204 1.75808 1.7368 -0.0785
-1.133 -1.15273 0.0872222 1.75815 1.73677 -0.0785
-1.13282 -1.1527 0 1.75823 1.73688 -0.0785
-1.13264 -1.1527 0 1.75831 1.73706 -0.093037
-1.13246 -1.1527 0 1.75838 1.73723 -0.0785
-1.13227 -1.15255 0.0872222 1.75846 1.73723 -0.0872222
-1.13209 -1.15226 0.157 1.75853 1.73709 -0.0872222
-1.13191 -1.15194 0.183167 1.75861 1.73694 -0.093037
-1.13173 -1.15171 0.142463 1.75869 1.73691 -0.101759
-1.13155 -1.15162 0.0377963 1.75876 1.73703 -0.125019
-1.13137 -1.15162 0 1.75884 1.73723 -0.101759
-1.13119 -1.15162 0 1.75891 1.73744 -0.119204
-1.13101 -1.15154 0 1.759 1.73758 -0.119204
-1.13084 -1.15122 0.133741 1.75909 1.73747 -0.110481
-1.13067 -1.15075 0.238407 1.75919 1.73726 -0.125019
-1.1305 -1.15023 0.252944 1.75928 1.73697 -0.142463
-1.13033 -1.14997 0.188981 1.75937 1.73697 -0.125019
-1.13015 -1.14991 0 1.75946 1.73718 -0.157
-1.12998 -1.15 -0.0290741 1.75955 1.73755 -0.142463
-1.12981 -1.15005 -0.0552407 1.75964 1.7379 -0.151185
