angle_1 angle_2
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97931
-0.888911 1.97928
-0.888911 1.97928
-0.888911 1.97928
-0.888911 1.97928
-0.888911 1.97928
-0.888911 1.97928
-0.888911 1.97928
-0.888911 1.97925
-0.888911 1.97925
-0.888911 1.97925
-0.888911 1.97922
-0.888911 1.97922
-0.888911 1.97922
-0.888911 1.97919
-0.888911 1.97916
-0.888911 1.97913
-0.888911 1.9791
-0.888911 1.9791
-0.888911 1.97904
-0.888911 1.97899
-0.888911 1.97896
-0.888911 1.97893
-0.888911 1.97887
-0.888911 1.97884
-0.888911 1.97881
-0.888911 1.97872
-0.888911 1.97867
-0.888911 1.97861
-0.888911 1.97852
-0.888911 1.97846
-0.888911 1.97835
-0.888911 1.97826
-0.888882 1.97811
-0.888882 1.97797
-0.888882 1.97788
-0.888882 1.97779
-0.888882 1.97771
-0.888882 1.97765
-0.888882 1.97759
-0.888853 1.9775
-0.888853 1.97739
-0.888853 1.97733
-0.888853 1.97727
-0.888824 1.97718
-0.888824 1.97712
-0.888824 1.97707
-0.888824 1.97698
-0.888795 1.97689
-0.888795 1.97683
-0.888795 1.97678
-0.888766 1.97672
-0.888766 1.97663
-0.888737 1.97654
-0.888708 1.97643
-0.888678 1.97634
-0.888649 1.97625
-0.88862 1.97614
-0.888562 1.97602
-0.888533 1.97593
-0.888504 1.97585
-0.888446 1.97573
-0.888417 1.97561
-0.888359 1.9755
-0.8883 1.97535
-0.888242 1.97524
-0.888184 1.97512
-0.888126 1.975
-0.888068 1.97492
-0.887981 1.97477
-0.887923 1.97465
-0.887864 1.97457
-0.887777 1.97445
-0.887719 1.97436
-0.887603 1.97416
-0.887515 1.97407
-0.887428 1.97393
-0.88737 1.97384
-0.887254 1.97372
-0.887167 1.97361
-0.88705 1.97346
-0.886963 1.97335
-0.886876 1.9732
-0.88676 1.97305
-0.886614 1.97285
-0.886498 1.97271
-0.886382 1.97256
-0.886236 1.97236
-0.88612 1.97221
-0.885975 1.97201
-0.885887 1.97186
-0.885742 1.97163
-0.885597 1.97143
-0.885451 1.97122
-0.885277 1.97096
-0.885131 1.97073
-0.884957 1.97047
-0.884812 1.97021
-0.884637 1.96991
-0.884463 1.96962
-0.884288 1.96933
-0.884085 1.96898
-0.88391 1.96864
-0.883707 1.96829
-0.883503 1.96791
-0.8833 1.9675
-0.883067 1.96704
-0.882864 1.96663
-0.88266 1.96619
-0.882457 1.96576
-0.882224 1.96526
-0.881991 1.96474
-0.881759 1.96422
-0.881526 1.96369
-0.881265 1.96311
-0.881032 1.96253
-0.88077 1.96192
-0.880509 1.96131
-0.880276 1.9607
-0.879985 1.96003
-0.879724 1.95939
-0.879433 1.95869
-0.879171 1.95805
-0.878851 1.9573
-0.87859 1.95657
-0.87827 1.95578
-0.877979 1.95497
-0.877659 1.95413
-0.87734 1.95323
-0.87702 1.9523
-0.8767 1.95137
-0.87638 1.95038
-0.87606 1.94939
-0.875711 1.94834
-0.875363 1.94729
-0.875043 1.94628
-0.874694 1.94523
-0.874345 1.94421
-0.873967 1.9432
-0.873618 1.94224
-0.87324 1.94131
-0.872862 1.9404
-0.872455 1.9395
-0.872048 1.93863
-0.871641 1.93776
-0.871205 1.93689
-0.870769 1.93601
-0.870304 1.93514
-0.869838 1.93424
-0.869373 1.93334
-0.868879 1.93244
-0.868414 1.93157
-0.86789 1.93064
-0.867396 1.92973
-0.866873 1.92883
-0.86635 1.92799
-0.865826 1.92715
-0.865303 1.92636
-0.864721 1.92552
-0.864111 1.92468
-0.863529 1.92392
-0.862919 1.92316
-0.862337 1.92252
-0.861756 1.92191
-0.861145 1.9213
-0.860535 1.92069
-0.859924 1.92014
-0.859285 1.91956
-0.858674 1.91901
-0.858063 1.91848
-0.857424 1.9179
-0.856726 1.91732
-0.855999 1.91674
-0.85533 1.91621
-0.854662 1.91572
-0.853993 1.91523
-0.853353 1.91479
-0.852656 1.91435
-0.852045 1.91401
-0.851464 1.91371
-0.850882 1.91342
-0.850301 1.91319
-0.849748 1.91299
-0.849167 1.91275
-0.848556 1.91252
-0.847975 1.91232
-0.847364 1.91209
-0.846754 1.91188
-0.846114 1.91165
-0.845503 1.91145
-0.844922 1.91127
-0.844399 1.91113
-0.843875 1.91095
-0.843323 1.91078
-0.8428 1.91066
-0.842131 1.91037
-0.841608 1.91017
-0.840997 1.90991
-0.840445 1.90967
-0.839892 1.90944
-0.839427 1.90927
-0.838962 1.90909
-0.838526 1.90895
-0.83809 1.9088
-0.837624 1.90866
-0.83713 1.90845
-0.836723 1.90831
-0.836258 1.90813
-0.835851 1.90796
-0.835502 1.90784
-0.835095 1.90764
-0.834717 1.90743
-0.834397 1.90726
-0.834048 1.90709
-0.833699 1.90682
-0.833409 1.90665
-0.833089 1.90639
-0.832827 1.90616
-0.832565 1.90592
-0.832333 1.90569
-0.8321 1.90546
-0.831868 1.90522
-0.831664 1.90502
-0.831461 1.90482
-0.831228 1.90459
-0.831025 1.90438
-0.830821 1.90418
-0.830676 1.90403
-0.830501 1.9038
-0.830356 1.90363
-0.83021 1.90345
-0.830094 1.90331
