torque_1 torque_1_t torque_2 torque_2_t
-1.24588 0.021875 -0.523541 -0.21875
-1.25533 0.809375 -0.524741 -0.30625
-1.26433 0.853125 -0.525941 -0.371875
-0.828786 1.05 -0.528886 -0.39375
-1.27885 1.1375 -0.530958 -0.415625
-1.28655 1.44375 -0.53303 -0.459375
-0.991008 1.37813 -0.535974 -0.525
-0.669145 1.33438 -0.540663 -0.459375
-0.603584 1.225 -0.545352 -0.65625
-0.935597 1.09375 -0.551204 -0.65625
-1.31719 1.24687 -0.548324 -0.7
-1.3262 1.44375 -0.55156 -0.7875
-1.33258 1.4 -0.550724 -0.765625
-0.589882 1.575 -0.557158 -0.765625
-0.33518 1.02812 -0.565626 -0.83125
-0.524163 0.984375 -0.570315 -0.83125
-1.34593 0.9625 -0.567736 -0.896875
-1.35538 1.42188 -0.567763 -0.83125
-1.36307 1.44375 -0.568963 -0.83125
-0.293436 1.46562 -0.575397 -0.678125
-0.0348089 1.02812 -0.588226 -0.940625
-0.222483 0.74375 -0.590589 -0.74375
-0.881434 0.678125 -0.593815 -0.678125
-1.37933 0.875 -0.590654 -0.721875
-1.38833 1.20312 -0.587202 -0.65625
-0.436299 1.4 -0.593926 -0.7
-0.0613756 0.896875 -0.602676 -0.74375
-0.0594589 0.765625 -0.609419 -0.74375
-0.901417 0.65625 -0.613263 -0.74375
-1.39841 0.896875 -0.611002 -0.678125
-1.40696 1.26875 -0.608441 -0.7
-0.662915 1.3125 -0.612867 -0.721875
0.062655 1.15938 -0.619328 -0.65625
0.251954 0.721875 -0.624617 -0.74375
-0.844098 0.678125 -0.625845 -0.74375
-1.41087 0.940625 -0.621539 -0.809375
-1.41942 1.33438 -0.61986 -0.721875
-0.606046 1.35625 -0.621087 -0.83125
-0.0195811 1.09375 -0.625504 -0.74375
0.0534217 0.678125 -0.631093 -0.765625
-0.602463 0.678125 -0.62766 -0.7875
-1.42378 0.765625 -0.622782 -0.853125
-1.61971 1.1375 -0.618476 -0.7875
-1.43781 1.4875 -0.619413 -0.7875
0.0333633 1.50937 -0.622958 -0.765625
0.412661 0.940625 -0.628547 -0.7875
0.29959 0.6125 -0.630647 -0.83125
-1.19624 0.65625 -0.624597 -0.809375
-1.92931 1.09375 -0.615939 -0.765625
-1.4481 1.42188 -0.609889 -0.546875
0.0682819 1.575 -0.611689 -0.721875
0.588444 0.7 -0.616115 -0.65625
0.337125 0.371875 -0.615299 -0.809375
-1.06391 0.721875 -0.607804 -0.7875
-1.7496 1.05 -0.599137 -0.678125
-1.57338 1.42188 -0.588736 -0.74375
-0.314158 1.61875 -0.587047 -0.74375
0.579461 1.00625 -0.591763 -0.7
0.657697 0.65625 -0.589202 -0.7
-0.365961 0.371875 -0.58635 -0.765625
-1.44444 0.503125 -0.575367 -0.721875
-1.45299 0.896875 -0.562339 -0.7
-1.45761 1.09375 -0.552519 -0.7875
0.13031 1.24687 -0.55491 -0.7875
0.653538 0.6125 -0.556728 -0.83125
0.591361 0.328125 -0.554767 -0.765625
-0.478815 0.021875 -0.548436 -0.765625
-1.44055 0.546875 -0.537752 -0.809375
-1.44865 0.853125 -0.526197 -0.765625
-0.891981 1.09375 -0.523945 -0.765625
0.27989 0.875 -0.521693 -0.7875
0.804427 0.590625 -0.527582 -0.765625
0.344225 0.56875 -0.525321 -0.74375
-0.728567 0.2625 -0.520743 -0.7875
-1.43445 0.546875 -0.513549 -0.7
-1.43993 0.896875 -0.505773 -0.7875
-0.299166 0.984375 -0.506428 -0.765625
0.291224 0.634375 -0.511145 -0.74375
0.554675 0.35 -0.514417 -0.721875
-0.0231311 0.328125 -0.516526 -0.7
-0.793553 0.546875 -0.512239 -0.74375
-0.985111 0.546875 -0.507361 -0.678125
-0.732126 0.678125 -0.503656 -0.765625
-0.358919 0.7 -0.500823 -0.74375
-0.215689 0.546875 -0.504676 -0.721875
-0.213322 0.525 -0.502706 -0.721875
-0.353127 0.48125 -0.49871 -0.721875
-0.609679 0.6125 -0.500237 -0.74375
-0.611238 0.56875 -0.497976 -0.74375
-0.540401 0.590625 -0.499795 -0.678125
-0.211097 0.83125 -0.502486 -0.721875
-0.279816 0.721875 -0.50633 -0.678125
-0.417005 0.525 -0.511347 -0.765625
-0.722242 0.525 -0.510549 -0.765625
-0.793578 0.765625 -0.512939 -0.7875
-0.468199 0.721875 -0.520573 -0.7875
-0.20998 0.6125 -0.527624 -0.721875
-0.161095 0.6125 -0.540482 -0.7875
-0.205697 0.546875 -0.544336 -0.83125
-0.602663 0.371875 -0.550797 -0.765625
-0.980294 0.525 -0.554941 -0.7875
-0.981852 0.74375 -0.561702 -0.765625
-0.540176 0.853125 -0.569036 -0.7875
0.0928069 0.7 -0.580158 -0.83125
0.237346 0.459375 -0.59098 -0.765625
-0.344386 0.175 -0.598913 -0.74375
-0.977419 0.503125 -0.603358 -0.765625
-1.42699 0.765625 -0.606358 -0.765625
-0.871189 1.07187 -0.612547 -0.809375
-0.217114 0.7875 -0.622224 -0.7875
0.488264 0.56875 -0.635391 -0.83125
0.236537 0.48125 -0.645941 -0.809375
-0.719509 0.503125 -0.65213 -0.83125
-1.42363 0.6125 -0.655702 -0.853125
-1.43173 1.00625 -0.658402 -0.7875
-1.06069 1.11563 -0.665463 -0.875
0.0392383 1.05 -0.677758 -0.875
0.674838 0.459375 -0.690924 -0.91875
0.238346 0.35 -0.704382 -0.853125
-0.859873 0.2625 -0.705919 -0.875
-1.42575 0.56875 -0.708619 -0.91875
-1.62123 1.00625 -0.709574 -0.91875
-0.551101 1.225 -0.717508 -0.91875
0.224504 0.809375 -0.73271 -0.91875
0.67403 0.39375 -0.744423 -0.984375
-0.276783 0.371875 -0.750902 -0.9625
-1.42414 0.415625 -0.75273 -0.940625
-1.43224 0.91875 -0.759791 -0.984375
-1.43727 1.09375 -0.756386 -0.984375
-0.0362811 1.225 -0.768671 -1.02812
0.600627 0.634375 -0.781837 -1.02812
0.608677 0.415625 -0.792387 -0.91875
-0.532135 0.30625 -0.795087 -0.984375
-1.42409 0.546875 -0.796043 -0.984375
-1.43305 0.9625 -0.795836 -1.00625
-1.43677 0.809375 -0.799989 -1.05
0.0800652 1.24687 -0.808795 -1.05
0.741991 0.525 -0.816728 -1.07187
0.306807 0.35 -0.826106 -1.09375
-0.790553 0.503125 -0.827643 -1.07187
-1.4262 0.721875 -0.824237 -1.11563
-1.87623 1.05 -0.823449 -1.09375
-0.620029 1.44375 -0.823532 -1.09375
0.412736 0.9625 -0.832037 -1.02812
1.00443 0.590625 -0.839971 -1.09375
-0.0161561 0.196875 -0.844997 -1.1375
-1.30352 0.415625 -0.839847 -1.09375
-1.80223 0.875 -0.835278 -1.1375
-1.43687 1.24687 -0.830119 -1.11563
0.150193 1.225 -0.834273 -1.05
0.813427 0.48125 -0.841334 -1.07187
0.494089 0.371875 -0.844324 -1.07187
-0.720426 0.48125 -0.842945 -1.09375
-1.4263 0.48125 -0.83605 -1.07187
-1.62134 0.9625 -0.828284 -1.05
-0.737734 1.18125 -0.827776 -1.09375
0.222187 0.896875 -0.828432 -1.02812
0.603244 0.546875 -0.83403 -1.07187
-0.161495 0.109375 -0.831787 -1.07187
-0.982361 0.525 -0.824302 -1.00625
-1.43239 1.02812 -0.8142 -1.05
-1.43787 1.05 -0.806134 -1.07187
0.147435 1.24687 -0.801556 -1.09375
0.669805 0.65625 -0.802793 -1.09375
0.491331 0.459375 -0.802876 -1.1375
-0.677115 0.415625 -0.791321 -1.18125
-1.42951 0.6125 -0.780347 -1.1375
-1.43761 0.984375 -0.765884 -1.00625
-0.693565 1.29062 -0.754619 -1.00625
0.478756 0.74375 -0.751786 -1.05
0.486356 0.48125 -0.748661 -0.984375
-0.0927589 0.21875 -0.740595 -0.9625
-1.42533 0.678125 -0.726141 -0.984375
-1.43343 0.940625 -0.711969 -1.02812
-1.43891 1.02812 -0.696924 -0.9625
0.0327133 1.225 -0.690602 -0.984375
0.746391 0.6125 -0.691258 -0.984375
0.614436 0.415625 -0.68668 -0.984375
-0.597913 -0.109375 -0.67745 -1.00625
-1.42009 0.525 -0.660952 -0.91875
-1.42819 1.02812 -0.649687 -0.940625
-1.43236 1.05 -0.634061 -0.896875
0.156868 1.11563 -0.632682 -0.896875
0.681405 0.634375 -0.625778 -0.809375
0.501623 0.525 -0.618584 -0.83125
-0.523343 0.415625 -0.606156 -0.7875
-1.4153 0.590625 -0.591111 -0.83125
-1.42295 0.91875 -0.577521 -0.765625
-0.607813 1.09375 -0.566256 -0.7875
0.235812 0.809375 -0.559352 -0.74375
0.361017 0.415625 -0.556228 -0.875
0.248396 0.30625 -0.546708 -0.853125
-0.661582 0.39375 -0.539223 -0.809375
-1.41267 0.6125 -0.522434 -0.83125
-0.858623 0.896875 -0.51175 -0.91875
-0.462157 0.7 -0.501939 -0.853125
0.102357 0.634375 -0.495617 -0.91875
0.17581 0.48125 -0.486097 -0.83125
-0.0789839 0.4375 -0.47773 -0.9625
-0.965702 0.415625 -0.465593 -0.853125
-1.10943 0.7 -0.455782 -0.7875
-0.971436 0.7875 -0.448006 -0.678125
-0.153687 1.07187 -0.440811 -0.65625
0.0619383 0.546875 -0.437978 -0.678125
-0.18893 0.678125 -0.431074 -0.634375
-0.773278 0.74375 -0.424452 -0.590625
-1.03331 0.875 -0.415513 -0.74375
-0.707926 0.83125 -0.411236 -0.678125
-0.264041 0.7875 -0.409293 -0.39375
0.06833 0.678125 -0.40706 -0.65625
-0.0697172 0.721875 -0.406571 -0.590625
-0.652307 0.678125 -0.401721 -0.74375
-0.911434 0.7 -0.396289 -0.65625
-0.844073 0.721875 -0.394056 -0.590625
-0.259775 0.83125 -0.391823 -0.546875
0.0717383 0.4375 -0.395695 -0.590625
0.19216 0.48125 -0.39695 -0.56875
-0.43564 0.415625 -0.39588 -0.590625
-1.02085 0.4375 -0.392193 -0.56875
-1.09259 0.678125 -0.391704 -0.590625
-0.650465 0.853125 -0.392087 -0.56875
0.0746967 0.765625 -0.396832 -0.590625
0.453586 0.48125 -0.401576 -0.546875
0.20231 0.35 -0.406611 -0.56875
-0.683959 0.30625 -0.407576 -0.546875
-1.0844 0.590625 -0.405634 -0.546875
-0.830964 0.678125 -0.407761 -0.590625
-0.38753 0.7 -0.410761 -0.634375
0.199835 0.590625 -0.418704 -0.634375
0.206576 0.4375 -0.425484 -0.6125
-0.117545 0.415625 -0.427611 -0.6125
-0.817739 0.459375 -0.430611 -0.590625
-0.937761 0.56875 -0.430695 -0.48125
-0.752345 0.853125 -0.432823 -0.503125
-0.306294 0.83125 -0.439021 -0.56875
0.281929 0.4375 -0.444928 -0.546875
0.149115 0.634375 -0.453743 -0.56875
-0.362389 0.48125 -0.454126 -0.56875
-0.809348 0.328125 -0.452765 -0.590625
-1.18346 0.678125 -0.454602 -0.48125
-0.556571 0.875 -0.454686 -0.6125
-0.226816 0.74375 -0.457395 -0.546875
0.290321 0.590625 -0.460395 -0.56875
-0.0311839 0.525 -0.462523 -0.56875
-0.403132 0.284375 -0.462034 -0.525
-0.732487 0.546875 -0.4595 -0.525
-0.804681 0.65625 -0.455523 -0.525
-0.478401 0.7 -0.452417 -0.546875
-0.149955 0.634375 -0.455417 -0.7
-0.0993117 0.765625 -0.4558 -0.56875
-0.143014 0.546875 -0.455011 -0.65625
-0.468443 0.503125 -0.45365 -0.6125
-0.609107 0.525 -0.453161 -0.678125
-0.540438 0.6125 -0.452091 -0.7
-0.283077 0.590625 -0.452174 -0.7
-0.210483 0.678125 -0.454302 -0.634375
-0.137889 0.721875 -0.45643 -0.634375
-0.20485 0.678125 -0.45943 -0.634375
-0.531588 0.678125 -0.457187 -0.634375
-0.460301 0.765625 -0.460187 -0.65625
-0.389015 0.56875 -0.459699 -0.65625
-0.269902 0.678125 -0.464143 -0.678125
-0.00992556 0.525 -0.465399 -0.65625
-0.262961 0.6125 -0.470143 -0.678125
-0.519921 0.65625 -0.470226 -0.6125
-0.519721 0.7875 -0.471773 -0.6125
-0.378207 0.7 -0.475654 -0.6125
-0.258644 0.546875 -0.479245 -0.721875
-0.325155 0.546875 -0.483717 -0.721875
-0.371024 0.153125 -0.487889 -0.7
-0.579707 0.4375 -0.490908 -0.721875
-0.579057 0.56875 -0.495952 -0.74375
-0.43971 0.503125 -0.497226 -0.721875
-0.250369 0.6125 -0.506341 -0.7875
-0.248411 0.546875 -0.511676 -0.721875
-0.433835 0.546875 -0.516149 -0.721875
-0.504271 0.634375 -0.518867 -0.765625
-0.831867 0.6125 -0.52363 -0.74375
-0.623192 0.875 -0.535652 -0.7
-0.508863 0.721875 -0.535763 -0.7875
-0.319522 0.721875 -0.545169 -0.809375
-0.36539 0.678125 -0.558936 -0.678125
-0.505604 0.65625 -0.563699 -0.74375
-0.625176 0.678125 -0.568743 -0.7875
-0.766698 0.74375 -0.57496 -0.765625
-0.698887 0.765625 -0.580876 -0.896875
-0.583249 0.678125 -0.588537 -0.765625
-0.512821 0.74375 -0.592428 -0.853125
-0.372615 0.7875 -0.60416 -0.7
-0.630434 0.74375 -0.609204 -0.853125
-0.771956 0.765625 -0.610769 -0.809375
-0.892836 0.74375 -0.614941 -0.853125
-0.779814 1.1375 -0.619986 -0.6125
-0.710695 0.91875 -0.627074 -0.853125
-0.452885 1.07187 -0.638515 -0.875
-0.453543 0.809375 -0.642397 -0.721875
-0.594207 0.896875 -0.649486 -0.875
-0.783556 0.875 -0.65453 -0.875
-1.34636 0.9625 -0.659574 -0.875
-0.909019 1.33438 -0.662874 -0.853125
-0.652517 1.09375 -0.676941 -0.875
-0.0199422 1.02812 -0.681695 -0.896875
-0.131664 0.765625 -0.69488 -0.896875
-1.11314 0.721875 -0.69818 -0.896875
-1.35293 1.11563 -0.700908 -0.875
-1.36013 1.26875 -0.700719 -0.940625
-0.287386 1.3125 -0.710124 -0.91875
0.0441272 0.91875 -0.717204 -1.00625
0.305862 0.503125 -0.729236 -0.91875
-1.23383 0.6125 -0.731663 -0.984375
-1.35733 1.05 -0.731474 -0.9625
-1.73668 1.07187 -0.72896 -0.940625
-0.293952 1.4 -0.737202 -1.00625
0.413184 0.678125 -0.74748 -1.00625
0.629709 0.48125 -0.757767 -1.00625
-0.652826 0.284375 -0.757869 -1.02812
-1.3578 0.678125 -0.758261 -0.940625
-1.36762 0.984375 -0.756328 -1.00625
-1.37135 0.984375 -0.756139 -0.91875
-0.0409922 1.24687 -0.762928 -1.02812
0.293137 0.6125 -0.77466 -0.984375
0.299021 0.48125 -0.781749 -1.05
-0.798748 0.39375 -0.779815 -1.00625
-1.36462 0.65625 -0.777882 -0.9625
-1.37182 0.9625 -0.775076 -1.05
-0.884034 1.07187 -0.77606 -1.05
0.218101 0.984375 -0.784021 -0.984375
0.295521 0.590625 -0.792863 -1.05
-0.0974783 0.678125 -0.795019 -0.984375
-1.24262 0.546875 -0.792813 -0.984375
-1.36612 0.91875 -0.791189 -1.02812
-1.37156 1.11563 -0.78753 -1.07187
-0.158364 1.225 -0.791139 -1.05
0.36229 0.65625 -0.794739 -1.02812
0.299704 0.503125 -0.800384 -1.07187
-0.610232 0.4375 -0.799923 -1.07187
-0.918044 0.634375 -0.795973 -1.02812
-1.36672 0.7 -0.790278 -1.05
-0.810464 1.07187 -0.7869 -1.00625
-0.107662 0.896875 -0.789928 -0.984375
0.294079 0.678125 -0.792956 -1.07187
-0.0976117 0.56875 -0.795984 -1.05
-0.657801 0.415625 -0.796104 -1.00625
-1.36102 0.678125 -0.7904 -1.05
-0.990389 0.984375 -0.788776 -1.02812
-0.289344 0.940625 -0.79006 -1.00625
0.370865 0.65625 -0.792787 -1.05
0.425025 0.415625 -0.79756 -1.07187
-0.273411 0.175 -0.795063 -1.1375
-1.30095 0.503125 -0.790241 -1.09375
-1.35422 0.875 -0.781339 -1.11563
-0.796656 1.05 -0.778261 -1.11563
0.305479 0.7875 -0.778673 -1.07187
0.945046 0.546875 -0.78111 -1.09375
0.324237 0.328125 -0.781521 -1.1375
-0.58439 0.065625 -0.772919 -1.09375
-1.33544 0.546875 -0.761691 -1.02812
-1.34133 0.678125 -0.749891 -0.984375
-0.267686 0.83125 -0.746523 -0.984375
0.50837 0.56875 -0.741691 -1.00625
0.844258 0.459375 -0.740358 -0.984375
0.196715 -0.284375 -0.734663 -0.984375
-0.689103 -0.065625 -0.726634 -1.02812
-1.32385 0.4375 -0.713089 -1.02812
-1.14105 0.678125 -0.702152 -1.00625
-0.0661033 0.809375 -0.697039 -0.9625
0.709952 0.4375 -0.69308 -0.9625
0.718902 0.175 -0.691456 -0.940625
0.0261494 -0.371875 -0.68518 -0.91875
-0.815767 0.328125 -0.675987 -0.91875
-1.30965 0.4375 -0.661861 -0.875
-0.68362 0.809375 -0.651215 -0.853125
-0.166891 0.56875 -0.642323 -0.809375
0.352004 0.4375 -0.638654 -0.83125
0.358337 0.284375 -0.632087 -0.765625
-0.151408 0.2625 -0.623476 -0.83125
-0.547024 0.328125 -0.609932 -0.91875
-0.804842 0.415625 -0.594343 -0.940625
