angle_1,angle_1_t,d_angle_1_t,angle_2,angle_2_t,d_angle_2_t
-0.43902,-0.439425,0,1.75433,1.75471,0
-0.43935,-0.439425,0,1.7545,1.75471,0
-0.43968,-0.439425,0,1.75467,1.75471,0
-0.44001,-0.439425,0,1.75484,1.75471,0
-0.44034,-0.439425,0,1.75501,1.75471,0
-0.44067,-0.439425,0,1.75518,1.75471,0
-0.441,-0.439425,0,1.75535,1.75471,0
-0.44133,-0.439425,0,1.75552,1.75471,0
-0.44166,-0.439425,0,1.75569,1.75471,0
-0.442,-0.439454,0,1.75586,1.75474,0
-0.44233,-0.439454,0,1.75603,1.75474,0
-0.44266,-0.439454,0,1.7562,1.75474,0
-0.44299,-0.439454,0,1.75637,1.75474,0
-0.44332,-0.439454,0,1.75653,1.75474,0
-0.44365,-0.439454,0,1.7567,1.75474,0
-0.44398,-0.439454,0,1.75687,1.75474,0
-0.44431,-0.439454,0,1.75704,1.75474,0
-0.44464,-0.439484,0,1.75721,1.75477,0
-0.44497,-0.439484,0,1.75738,1.75477,0
-0.4453,-0.439484,0,1.75754,1.75477,0
-0.44563,-0.439484,0,1.75771,1.75477,0
-0.44597,-0.439484,0,1.75788,1.75477,0
-0.4463,-0.439484,0,1.75805,1.75477,0
-0.44663,-0.439513,0,1.75821,1.75479,0
-0.44696,-0.439513,0,1.75838,1.75479,0
-0.44729,-0.439513,0,1.75855,1.75479,0
-0.44762,-0.439513,0,1.75872,1.75479,0
-0.44795,-0.439513,0,1.75888,1.75479,0
-0.44828,-0.439513,0,1.75905,1.75479,0
-0.44861,-0.439513,0,1.75922,1.75479,0
-0.44894,-0.439513,-0.000290741,1.75938,1.75479,-1.4537e-05
-0.44927,-0.439571,-0.000276204,1.75955,1.75485,-2.76204e-05
-0.4496,-0.439571,-0.000262394,1.75972,1.75485,-3.9359e-05
-0.44993,-0.439571,-0.000249274,1.75988,1.75485,-4.98548e-05
-0.45027,-0.439571,-0.00023681,1.76005,1.75485,-5.92025e-05
-0.4506,-0.439571,-0.00022497,1.76021,1.75485,-6.74909e-05
-0.45093,-0.439571,-0.000213721,1.76038,1.75485,-7.48024e-05
-0.45126,-0.439571,-0.000203035,1.76055,1.75485,-8.1214e-05
-0.45159,-0.4396,-0.000192883,1.76071,1.75488,-8.67975e-05
-0.45192,-0.4396,-0.000183239,1.76088,1.75488,-9.16196e-05
-0.45225,-0.4396,-0.000174077,1.76104,1.75488,-9.57425e-05
-0.45258,-0.4396,-0.000892225,1.76121,1.75488,-0.000135567
-0.45291,-0.439629,-0.000847614,1.76137,1.75491,-0.000171169
-0.45324,-0.439629,-0.000805233,1.76154,1.75491,-0.000202872
-0.45357,-0.439629,-0.00105571,1.7617,1.75491,-0.000245514
-0.4539,-0.439658,-0.00100293,1.76187,1.75494,-0.000283385
-0.45423,-0.439658,-0.00095278,1.76203,1.75494,-0.000316855
-0.45457,-0.439687,-0.000905141,1.7622,1.75497,-0.000346269
-0.4549,-0.439687,-0.000859884,1.76236,1.75497,-0.00037195
-0.45523,-0.439687,-0.00154374,1.76252,1.75497,-0.000430539
-0.45556,-0.439716,-0.00146655,1.76269,1.755,-0.00048234
-0.45589,-0.439745,-0.00139323,1.76285,1.75503,-0.000527884
-0.45622,-0.439745,-0.00248653,1.76301,1.75503,-0.000625817
-0.45655,-0.439774,-0.00468813,1.76318,1.75506,-0.000828932
-0.45688,-0.439803,-0.00590743,1.76334,1.75509,-0.00108286
-0.45721,-0.439832,-0.00837409,1.76351,1.75511,-0.00144742
-0.45754,-0.439891,-0.00911835,1.76367,1.75517,-0.00183097
-0.45787,-0.43992,-0.0114245,1.76383,1.7552,-0.00231064
-0.4582,-0.439949,-0.0127431,1.76399,1.75523,-0.00283226
-0.45853,-0.439978,-0.0148679,1.76416,1.75526,-0.00343405
-0.45887,-0.440007,-0.0160144,1.76432,1.75529,-0.00406306
-0.4592,-0.440065,-0.0152136,1.76448,1.75535,-0.00462059
-0.45953,-0.440094,-0.0175057,1.76464,1.75538,-0.00526485
-0.45986,-0.440152,-0.0166305,1.76481,1.75543,-0.00583313
-0.46019,-0.44021,-0.0157989,1.76497,1.75549,-0.00633142
-0.46052,-0.440269,-0.0152997,1.76513,1.75555,-0.00677983
-0.46085,-0.440298,-0.0148255,1.76529,1.75558,-0.00718212
-0.46118,-0.440356,-0.0152472,1.76545,1.75564,-0.00758537
-0.46151,-0.440414,-0.0144848,1.76562,1.7557,-0.00793034
-0.46184,-0.440501,-0.0137606,1.76578,1.75578,-0.00822185
-0.46217,-0.440559,-0.0142355,1.76594,1.75584,-0.00852253
-0.4625,-0.440617,-0.0142506,1.7661,1.7559,-0.00880894
-0.46283,-0.440676,-0.015864,1.76626,1.75596,-0.00916169
