torque_1,torque_1_t,torque_2,torque_2_t
-0.189619,11.8512,0.0919178,5.74486
-0.277401,17.3375,0.0860622,5.37889
-0.306653,19.1658,0.0798252,4.98907
-0.11436,7.1475,0.0728067,4.55042
-0.0151044,0.944028,0.0659881,4.12426
-0.00868593,0.54287,0.0591696,3.6981
-0.224012,14.0007,0.0527326,3.29579
-0.0916119,5.72574,0.0476585,2.97866
-0.307519,19.22,0.042003,2.62519
-0.267575,16.7234,0.0361474,2.25921
-0.098923,6.18269,0.0299104,1.8694
0.0230104,-1.43815,0.0236733,1.47958
0.0286474,-1.79046,0.0174363,1.08977
0.033703,-2.10644,0.0115807,0.723796
-0.275623,17.2264,0.00650667,0.406667
-0.329879,20.6174,0.00201407,0.12588
-0.19806,12.3787,-0.00247852,-0.154907
-0.227312,14.207,-0.00871556,-0.544722
-0.0943304,5.89565,-0.0143711,-0.898194
-0.158471,9.90444,-0.0206081,-1.28801
-0.246834,15.4271,-0.0258822,-1.61764
-0.27783,17.3644,-0.0303748,-1.89843
-0.274519,17.1575,-0.0342859,-2.14287
-0.270627,16.9142,-0.0387785,-2.42366
-0.231264,14.454,-0.0438526,-2.74079
-0.0982822,6.14264,-0.0495081,-3.09426
0.0343178,-2.14486,-0.0545822,-3.41139
-0.251949,15.7468,-0.0596563,-3.72852
-0.249219,15.5762,-0.0627859,-3.92412
-0.338945,21.1841,-0.066697,-4.16856
-0.242597,15.1623,-0.0706081,-4.41301
-0.239286,14.9554,-0.0745193,-4.65745
-0.106304,6.64403,-0.0801748,-5.01093
-0.19603,12.2519,-0.0840859,-5.25537
-0.22819,14.2619,-0.0874156,-5.46347
-0.28399,17.7494,-0.0899637,-5.62273
-0.351619,21.9762,-0.0927119,-5.79449
-0.314001,19.625,-0.0960415,-6.00259
-0.31069,19.4181,-0.0999526,-6.24704
-0.30796,19.2475,-0.103082,-6.44264
-0.211612,13.2257,-0.106993,-6.68708
-0.33739,21.0869,-0.109741,-6.85884
-0.39339,24.5869,-0.11229,-7.0181
-0.426712,26.6695,-0.114456,-7.15352
-0.460034,28.7521,-0.116423,-7.27644
-0.38869,24.2931,-0.11859,-7.41185
-0.38596,24.1225,-0.121919,-7.61995
-0.326245,20.3903,-0.123886,-7.74287
-0.347356,21.7098,-0.126634,-7.91463
-0.34559,21.5994,-0.128601,-8.03755
-0.414382,25.8989,-0.130186,-8.13662
-0.448286,28.0179,-0.131571,-8.22319
-0.540919,33.8075,-0.132575,-8.28593
-0.377119,23.57,-0.13396,-8.3725
-0.374971,23.4357,-0.136508,-8.53176
-0.373404,23.3378,-0.138675,-8.66718
-0.442779,27.6737,-0.139479,-8.71741
-0.465634,29.1021,-0.140482,-8.78014
-0.535008,33.438,-0.141286,-8.83037
-0.499716,31.2322,-0.14209,-8.8806
-0.49873,31.1706,-0.143475,-8.96718
-0.462275,28.8922,-0.145641,-9.10259
-0.437449,27.3406,-0.147608,-9.22551
-0.495193,30.9496,-0.148412,-9.27574
-0.529679,33.1049,-0.149216,-9.32597
-0.495167,30.948,-0.149638,-9.35236
-0.529653,33.1033,-0.150441,-9.40259
-0.459471,28.7169,-0.151245,-9.45282
-0.400338,25.0211,-0.15263,-9.5394
-0.457501,28.5938,-0.154016,-9.62597
-0.457097,28.5686,-0.154819,-9.6762
-0.492164,30.7602,-0.155041,-9.69009
-0.49176,30.735,-0.155845,-9.74032
-0.433208,27.0755,-0.156849,-9.80306
-0.455482,28.4676,-0.158234,-9.88963
-0.397512,24.8445,-0.158456,-9.90352
-0.431416,26.9635,-0.159841,-9.99009
-0.489741,30.6088,-0.160064,-10.004
