angle_1,velocity_1 angle_2,velocity_2
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34953,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34953,0.014537
-1.38491,0,2.3495,0
-1.38491,0,2.34953,-0.0697778
-1.38491,0,2.34956,0
-1.38491,0,2.34959,0.0465185
-1.38491,0,2.34953,0.0465185
-1.38491,0,2.3495,0
-1.38491,0,2.34953,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34953,0
-1.38491,0,2.34953,-0.014537
-1.38491,0,2.34956,0
-1.38491,0,2.34953,0
-1.38491,0,2.34953,0
-1.38491,0,2.34956,-0.0465185
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0552407
-1.38491,0,2.34953,0
-1.38491,0,2.3495,0
-1.38491,0,2.34956,-0.0290741
-1.38491,0,2.34959,0
-1.38491,0,2.34956,0.014537
-1.38491,0,2.34953,0
-1.38491,0,2.34956,-0.0552407
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0697778
-1.38491,0,2.34953,0
-1.38491,0,2.34953,0
-1.38491,0,2.34956,0
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0610556
-1.38491,0,2.34953,0
-1.38491,0,2.34953,0
-1.38491,0,2.34959,-0.0552407
-1.38491,0,2.34962,0
-1.38491,0,2.34962,0.0552407
-1.38491,0,2.34956,0.0552407
-1.38491,0,2.34953,0
-1.38491,0,2.34956,-0.00581481
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0552407
-1.38491,0,2.34956,0
-1.38491,0,2.34956,-0.00581481
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0232593
-1.38491,0,2.34956,0
-1.38491,0,2.34956,-0.0290741
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.014537
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0377963
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0610556
-1.38491,0,2.34956,0
-1.38491,0,2.34956,-0.0232593
-1.38491,0,2.34959,0
-1.38491,0,2.34956,0.0465185
-1.38491,0,2.34953,0
-1.38491,0,2.34956,-0.0697778
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.00581481
-1.38491,0,2.34956,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,-0.014537
-1.38491,0,2.34959,0.0552407
-1.38491,0,2.34956,0
-1.38491,0,2.34956,-0.0232593
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.014537
-1.38491,0,2.34956,0
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0
-1.38491,0,2.34956,0
-1.38491,0,2.34956,-0.0232593
-1.38491,0,2.34959,0
-1.38491,0,2.34959,0.0290741
-1.38491,0,2.34956,0
-1.38491,0,2.34956,-0.0465185
-1.38491,0,2.34962,0
