angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.12486,-1.14098,0,2.13418,2.10575,0
-1.12479,-1.14098,0,2.1342,2.10575,0
-1.12473,-1.14098,0,2.13422,2.10575,0
-1.12467,-1.14095,0,2.13423,2.10581,0
-1.12461,-1.14093,0,2.13425,2.10586,0
-1.12454,-1.14093,0,2.13427,2.10601,0
-1.12448,-1.1409,0.00276204,2.13429,2.10616,0.000138102
-1.12442,-1.14084,0.00262394,2.1343,2.10633,0.000262394
-1.12436,-1.14081,0.00249274,2.13432,2.10659,0.000373911
-1.12429,-1.14078,0.00425792,2.13434,2.10688,0.000568111
-1.12423,-1.14072,0.00404502,2.13435,2.10717,0.000741957
-1.12417,-1.14069,0.00573258,2.13437,2.10755,0.000991488
-1.12411,-1.14063,0.00820799,2.13439,2.1079,0.00135231
-1.12404,-1.14061,0.0105596,2.13441,2.10828,0.00181268
-1.12398,-1.14055,0.0111946,2.13442,2.10866,0.00228178
-1.12392,-1.14046,0.0133969,2.13444,2.10898,0.00283753
-1.12386,-1.1404,0.0146169,2.13446,2.10932,0.0034265
-1.12379,-1.14031,0.0141768,2.13448,2.10962,0.00396401
-1.12373,-1.14023,0.0169568,2.13449,2.10991,0.00461366
-1.12367,-1.14014,0.020034,2.13451,2.11014,0.00538467
-1.12361,-1.14002,0.0217943,2.13453,2.11034,0.00620515
-1.12354,-1.13994,0.0246296,2.13455,2.11052,0.00712638
-1.12348,-1.13982,0.026887,2.13456,2.11063,0.00811441
-1.12342,-1.1397,0.0294677,2.13458,2.11072,0.00918207
-1.12336,-1.13959,0.0303202,2.1346,2.11072,0.010239
-1.12329,-1.13944,0.031857,2.13462,2.11069,0.0113199
-1.12323,-1.13933,0.0325901,2.13463,2.11066,0.0123834
-1.12317,-1.13915,0.0353217,2.13465,2.11055,0.0135303
-1.1231,-1.13904,0.0379167,2.13467,2.11046,0.0147496
-1.12304,-1.13889,0.0406727,2.13468,2.11031,0.0160458
-1.12298,-1.13872,0.0425641,2.1347,2.11014,0.0173717
-1.12292,-1.13854,0.044797,2.13472,2.10996,0.018743
