torque_1,torque_1_t,torque_2,torque_2_t
0.483697,-0.175,0.85295,-0.065625
0.485797,0.21875,0.85355,-0.35
0.487597,0.30625,0.85415,-0.4375
0.488524,0.35,0.852706,-0.590625
0.489452,0.525,0.851561,-0.65625
0.491552,0.525,0.8478,-0.7875
0.481432,0.240625,0.84397,-0.809375
0.48204,0.48125,0.838974,-0.853125
0.483492,0.56875,0.831669,-0.9625
0.477659,0.459375,0.823449,-0.91875
0.478567,0.546875,0.81494,-0.940625
0.472744,0.525,0.804076,-0.940625
0.462898,0.546875,0.794029,-1.00625
0.454719,0.590625,0.78306,-1.00625
0.452235,0.546875,0.771787,-1.07187
0.442609,0.525,0.762515,-1.05
0.437785,0.56875,0.752353,-1.07187
0.439028,0.525,0.743962,-0.9625
0.427092,0.48125,0.735215,-1.05
0.413966,0.590625,0.728452,-1.07187
0.405236,0.503125,0.722536,-1.18125
0.393378,0.525,0.717442,-1.00625
0.38266,0.56875,0.713759,-1.07187
0.370648,0.590625,0.711209,-0.91875
0.365549,0.546875,0.711281,-1.20312
0.357141,0.525,0.712212,-1.07187
0.35252,0.546875,0.712853,-1.05
0.33816,0.459375,0.716368,-1.11563
0.326391,0.503125,0.718975,-1.07187
0.312806,0.459375,0.722988,-0.940625
0.301807,0.48125,0.728159,-1.07187
0.289442,0.39375,0.733306,-1.00625
0.277533,0.546875,0.737556,-0.984375
0.269586,0.503125,0.740629,-0.940625
0.260207,0.6125,0.745746,-0.9625
0.248218,0.328125,0.750845,-0.984375
0.236376,0.459375,0.761193,-1.1375
0.223244,0.525,0.76511,-1.1375
0.210598,0.4375,0.768435,-1.00625
0.203936,0.065625,0.771772,-0.91875
0.196034,0.328125,0.774811,-0.984375
0.187243,0.48125,0.778155,-1.11563
0.178428,0.328125,0.780624,-1.18125
0.170517,0.328125,0.783973,-0.984375
0.16051,0.328125,0.785269,-1.15938
0.162795,0.2625,0.786054,-1.02812
0.161102,0.021875,0.787751,-1.1375
0.157049,0.459375,0.788292,-0.9625
0.153702,0.525,0.789159,-1.1375
0.155045,0.56875,0.788326,-0.9625
0.149884,0.284375,0.788377,-1.1375
0.150387,0.30625,0.787289,-1.00625
0.150539,0.2625,0.785661,-1.18125
0.145408,0.153125,0.785786,-1.05
0.143896,0.196875,0.783013,-1.00625
0.156673,0.4375,0.781518,-1.1375
0.162671,0.153125,0.779212,-1.05
0.163095,0.21875,0.777799,-1.15938
0.163466,0.21875,0.775228,-1.00625
0.169061,0.459375,0.773882,-1.11563
0.17259,0.13125,0.773446,-1.02812
0.184334,0.30625,0.771918,-1.15938
0.194921,0.196875,0.771637,-0.984375
0.200873,0.284375,0.77052,-1.1375
0.208275,0.2625,0.77032,-1.05
0.207469,0.371875,0.768937,-1.15938
0.211654,0.240625,0.769621,-1.02812
0.215923,0.371875,0.770333,-1.11563
0.214414,0.2625,0.77073,-1.02812
0.217645,0.371875,0.770562,-1.11563
0.221638,0.153125,0.772163,-1.05
0.218704,0.371875,0.772867,-1.1375
0.221443,0.175,0.773277,-1.00625
0.226427,0.35,0.774882,-1.11563
0.236404,0.284375,0.776538,-1.05
0.234879,0.30625,0.776997,-1.11563
0.240174,0.284375,0.779528,-1.09375
0.24953,0.196875,0.781231,-1.05
0.25265,0.30625,0.782936,-1.02812
0.250427,0.48125,0.783437,-1.07187
0.253895,0.546875,0.785115,-1.07187
0.259858,0.328125,0.786813,-1.09375
0.268477,0.284375,0.788249,-1.05
0.277011,0.328125,0.789145,-1.07187
0.285753,0.2625,0.790069,-1.05
0.293275,0.30625,0.79159,-1.15938
0.300467,0.371875,0.791689,-1.07187
0.308518,0.35,0.792679,-0.809375
0.312192,0.35,0.794539,-1.07187
0.306716,0.415625,0.796044,-1.07187
0.314609,0.371875,0.796997,-1.05
0.318132,0.284375,0.797949,-1.07187
0.325306,0.240625,0.798616,-1.09375
0.319127,0.284375,0.799521,-1.11563
0.326687,0.415625,0.800444,-1.11563
0.331639,0.328125,0.801077,-1.09375
0.338425,0.6125,0.802024,-1.07187
0.333342,0.30625,0.802915,-1.07187
0.340194,0.109375,0.80265,-1.09375
0.345921,0.634375,0.803572,-1.09375
0.352281,0.415625,0.804506,-1.07187
0.35784,0.39375,0.805451,-1.07187
0.362883,0.415625,0.806104,-1.07187
0.368592,0.459375,0.80532,-1.11563
0.36423,-0.021875,0.807099,-1.11563
0.369151,0.525,0.807716,-1.11563
0.374745,0.2625,0.807768,-1.09375
0.373753,0.721875,0.809542,-1.18125
0.372822,0.39375,0.810115,-1.00625
0.377514,0.48125,0.810998,-1.05
0.38289,0.371875,0.811017,-1.02812
0.384608,0.48125,0.812469,-1.11563
0.379605,0.48125,0.813298,-1.09375
0.384202,0.459375,0.814138,-1.09375
0.388915,0.4375,0.81556,-1.26875
0.394027,0.678125,0.815546,-1.09375
0.393449,0.48125,0.81551,-1.15938
0.388294,0.39375,0.817168,-0.940625
0.393047,0.7875,0.817667,-1.15938
0.395289,0.7,0.819342,-1.09375
0.399457,0.634375,0.820154,-1.20312
0.403762,0.525,0.820676,-1.09375
0.407614,0.634375,0.821504,-1.20312
0.41132,0.525,0.821466,-1.09375
0.414886,0.678125,0.822005,-1.18125
0.418621,0.546875,0.821976,-1.02812
0.420767,0.525,0.821942,-1.20312
0.423143,0.503125,0.822483,-1.07187
0.413783,0.525,0.824129,-1.26875
0.416195,0.56875,0.824031,-1.02812
0.414171,0.74375,0.823611,-1.225
0.407027,0.503125,0.825187,-1.09375
0.410091,0.56875,0.825032,-1.09375
0.408352,0.525,0.825432,-1.05
0.404096,0.74375,0.825226,-1.1375
0.398897,0.2625,0.824989,-1.09375
0.395663,0.678125,0.825308,-1.18125
0.386153,0.415625,0.825871,-1.09375
0.377378,0.678125,0.82464,-1.26875
0.368715,0.415625,0.823064,-1.07187
0.365097,0.546875,0.821778,-1.15938
0.357558,0.415625,0.82046,-1.29062
0.345374,0.459375,0.817913,-1.07187
0.340111,0.415625,0.815655,-1.07187
0.33242,0.503125,0.812498,-1.09375
0.325907,0.04375,0.807279,-1.05
0.318472,0.284375,0.803211,-1.00625
0.314232,0.35,0.797398,-1.05
0.307802,0.503125,0.791274,-1.02812
0.302154,0.30625,0.782825,-1.00625
0.288272,0.525,0.775194,-0.91875
0.276418,0.35,0.765477,-0.896875
0.259221,0.35,0.756868,-0.91875
0.254632,0.525,0.743909,-1.02812
0.246664,0.525,0.732388,-0.91875
0.23515,0.415625,0.721141,-0.91875
0.225784,0.328125,0.709882,-0.940625
0.21149,0.328125,0.696529,-0.984375
0.197499,0.39375,0.685189,-0.9625
0.188643,0.2625,0.672978,-1.00625
0.176535,0.371875,0.661313,-0.940625
0.163704,0.175,0.649927,-0.9625
0.149554,0.13125,0.639383,-0.91875
0.134153,0.415625,0.629376,-1.00625
0.118443,0.2625,0.621376,-0.984375
0.100402,0.0875,0.614206,-1.00625
0.0856202,0.328125,0.607582,-0.9625
0.0716625,0.0875,0.60298,-0.940625
0.0552858,0.21875,0.600968,-0.940625
0.039469,0.2625,0.600377,-1.00625
0.0244842,0.2625,0.601812,-0.984375
0.0123214,0.196875,0.604115,-0.984375
-0.00206521,-0.153125,0.608734,-1.00625
-0.0131619,0.021875,0.614527,-0.91875
-0.0247856,0.021875,0.620903,-0.91875
-0.0372935,0.065625,0.6267,-0.9625
-0.0453117,0.109375,0.633395,-0.91875
-0.0552173,0.021875,0.639805,-0.875
-0.0622698,0.0875,0.645669,-0.896875
-0.068885,-0.153125,0.651559,-0.875
-0.0774142,0,0.657163,-0.91875
-0.0839877,-0.065625,0.662221,-0.91875
-0.0895756,0.109375,0.666431,-0.91875
-0.095628,0.0875,0.672111,-0.940625
-0.0966448,-0.371875,0.674649,-0.940625
-0.100355,-0.30625,0.67809,-0.896875
-0.103752,-0.48125,0.681262,-0.91875
-0.104528,-0.0875,0.68391,-1.05
-0.102821,-0.525,0.686612,-0.91875
-0.102771,0.021875,0.688183,-0.91875
-0.0979034,-0.04375,0.690124,-0.9625
-0.0986406,-0.109375,0.691796,-0.9625
-0.0948079,-0.284375,0.692947,-0.9625
-0.0889196,-0.459375,0.692412,-0.91875
-0.0877277,-0.30625,0.69248,-0.9625
-0.0837631,-0.109375,0.692888,-0.940625
-0.0829393,0.153125,0.694193,-0.9625
-0.0741004,-0.065625,0.692645,-0.9625
-0.0607488,-0.39375,0.694111,-0.9625
-0.0559934,-0.021875,0.693862,-0.9625
-0.0485657,0.153125,0.69423,-1.00625
-0.0403343,0.065625,0.694066,-0.984375
-0.0243217,-0.30625,0.693997,-1.07187
-0.00910686,-0.065625,0.695457,-1.02812
-0.00452594,0.021875,0.695479,-0.875
0.0106355,-0.04375,0.696147,-0.9625
0.0192704,-0.065625,0.697145,-1.00625
0.034507,0.021875,0.698205,-1.00625
0.0479145,0.284375,0.699893,-1.05
0.0615703,0.0875,0.700184,-0.940625
0.074061,0.328125,0.702262,-1.02812
0.0865609,0.13125,0.703205,-0.9625
0.0985257,0.153125,0.704478,-0.896875
0.110282,0,0.705479,-1.02812
0.121256,0.240625,0.706802,-0.9625
0.131771,0.109375,0.708143,-1.00625
0.142151,0.153125,0.709199,-1.02812
0.151816,0.109375,0.710566,-1.09375
0.161088,0.109375,0.711941,-1.00625
0.170286,0.153125,0.713022,-1.00625
0.17883,0.153125,0.714407,-1.05
0.187036,0.021875,0.715792,-1.05
0.195222,0.371875,0.716875,-0.984375
0.202804,0.240625,0.718256,-0.853125
0.210097,0,0.719332,-1.00625
0.217415,0.0875,0.720702,-1.02812
0.224172,0.240625,0.722064,-1.00625
0.230681,0.240625,0.723118,-1.00625
0.237255,0.175,0.724462,-0.940625
0.243305,0.240625,0.725495,-0.984375
0.249143,0.415625,0.726817,-1.00625
0.255079,0.21875,0.728127,-1.00625
0.260523,0.240625,0.729124,-1.02812
0.265784,0.678125,0.730408,-1.02812
0.271173,0.04375,0.731678,-1.02812
0.276097,0.39375,0.732634,-1.00625
0.280865,0.196875,0.733876,-1.05
0.285785,0.30625,0.734804,-1.02812
0.290264,0.2625,0.736016,-1.02812
0.294608,0.48125,0.736342,-1.02812
0.299126,0.328125,0.737226,-1.05
0.303222,0.284375,0.738394,-1.02812
0.307204,0.30625,0.739548,-1.02812
0.311377,0.459375,0.740387,-1.02812
0.315146,0.39375,0.741511,-1.05
0.317944,0.328125,0.743193,-1.05
0.321821,0.371875,0.743416,-1.02812
0.32531,0.240625,0.744498,-1.00625
0.322026,0.04375,0.746101,-1.02812
0.323905,0.503125,0.747986,-1.00625
0.327487,0.56875,0.74869,-1.15938
0.3275,0.503125,0.748794,-1.00625
0.326402,0.30625,0.751488,-1.02812
0.329141,0.35,0.753004,-1.05
0.332961,0.546875,0.75307,-1.05
0.334651,0.4375,0.755445,-1.00625
0.337132,0.415625,0.757241,-1.02812
0.330531,0.284375,0.7581,-1.05
0.32315,0.415625,0.759471,-1.00625
0.326316,0.415625,0.761147,-1.07187
0.32967,0.4375,0.761953,-1.00625
0.330583,0.4375,0.763327,-1.07187
0.321568,0.546875,0.764934,-1.05
0.325227,0.459375,0.765377,-1.07187
0.322649,0.39375,0.766092,-1.09375
0.325189,0.634375,0.767688,-1.07187
0.318601,0.4375,0.768934,-1.07187
0.314677,0.590625,0.768703,-1.02812
0.310996,0.546875,0.770767,-1.02812
0.306013,0.415625,0.771348,-1.09375
0.297262,0.39375,0.772747,-1.02812
0.302334,0.56875,0.773001,-1.09375
0.304006,0.459375,0.773562,-1.02812
0.299245,0.48125,0.772917,-1.02812
0.302337,0.39375,0.774338,-1.07187
0.306155,0.4375,0.774912,-1.07187
0.310657,0.021875,0.77521,-1.02812
0.31528,0.590625,0.774957,-0.984375
0.319434,0.459375,0.775296,-1.05
0.314123,0.459375,0.775893,-1.07187
0.318727,0.35,0.776212,-1.07187
0.322862,0.415625,0.775978,-1.07187
0.32771,0.415625,0.775761,-1.09375
0.324273,0.459375,0.776084,-1.05
0.317281,0.415625,0.776657,-1.1375
0.322905,0.503125,0.77608,-1.09375
0.319621,0.415625,0.77665,-1.09375
0.324108,0.4375,0.778116,-1.1375
0.328716,0.415625,0.778431,-1.1375
0.333727,0.4375,0.779065,-0.940625
0.334799,0.48125,0.779399,-1.11563
0.339943,0.459375,0.780049,-1.07187
0.344634,0.4375,0.780716,-1.1375
0.34075,0.328125,0.781921,-1.09375
0.345837,0.65625,0.781699,-1.11563
0.350476,0.503125,0.782064,-1.09375
0.3541,0.503125,0.783615,-1.07187
0.358761,0.415625,0.784306,-1.07187
0.362995,0.4375,0.784708,-1.09375
0.361882,0.109375,0.786262,-1.05
0.368211,0.4375,0.785455,-1.11563
0.375618,0.6125,0.784057,-1.09375
0.372434,0.503125,0.78261,-1.07187
0.380082,0.546875,0.781477,-1.09375
0.387602,0.4375,0.780055,-1.00625
0.393829,0.48125,0.779816,-1.05
0.401113,0.4375,0.778414,-1.09375
0.407116,0.546875,0.777892,-1.05
0.414187,0.65625,0.776805,-1.09375
0.419988,0.415625,0.776296,-1.09375
0.426867,0.65625,0.774048,-1.05
0.420274,0.65625,0.773773,-1.02812
0.426718,0.6125,0.773208,-1.05
0.433623,0.65625,0.771782,-1.09375
0.429675,0.196875,0.77235,-1.15938
0.426664,0.13125,0.771702,-1.11563
0.422556,0.240625,0.771303,-1.05
0.418565,0.503125,0.770558,-1.09375
0.421665,0.634375,0.769811,-0.853125
0.419871,0.48125,0.769335,-1.07187
0.427094,0.721875,0.769463,-1.09375
0.434696,0.459375,0.768747,-1.09375
0.431366,0.546875,0.768288,-0.984375
0.431602,0.56875,0.769268,-1.07187
0.433981,0.284375,0.768499,-1.05
0.440804,0.7,0.768056,-1.09375
0.442258,0.765625,0.767306,-1.00625
0.449322,0.56875,0.767459,-1.05
0.445437,0.74375,0.767572,-1.05
0.440451,0.56875,0.767941,-0.91875
