angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.15086,-1.18134,0,1.75233,1.71418,0
-1.15065,-1.18134,0,1.75237,1.71418,0
-1.15045,-1.18125,0,1.75241,1.71415,0
-1.15025,-1.18111,0.00305278,1.75245,1.71427,0.000152639
-1.15004,-1.1809,0.0079881,1.75249,1.71453,0.000544412
-1.14984,-1.18076,0.0126767,1.75253,1.71493,0.00115102
-1.14963,-1.18058,0.0164039,1.75257,1.71554,0.00191367
-1.14943,-1.18041,0.0211078,1.75261,1.71624,0.00287338
-1.14922,-1.18023,0.0255765,1.75265,1.7172,0.00400853
-1.14902,-1.18009,0.0289495,1.75269,1.71842,0.00525558
-1.14881,-1.17991,0.03259,1.75272,1.71976,0.0066223
-1.14861,-1.17971,0.0364846,1.75276,1.72127,0.00811542
-1.14841,-1.17954,0.0401844,1.7528,1.72293,0.00971887
-1.1482,-1.17933,0.0432632,1.75284,1.72459,0.0113961
-1.148,-1.17916,0.046188,1.75288,1.7263,0.0131357
-1.14779,-1.17895,0.0498388,1.75292,1.7279,0.0149708
-1.14759,-1.17875,0.053307,1.75296,1.72944,0.0168876
-1.14738,-1.17852,0.0566018,1.75299,1.73072,0.0188734
-1.14718,-1.17828,0.0616218,1.75303,1.73194,0.0210108
-1.14697,-1.17796,0.0668268,1.75307,1.73308,0.0233016
-1.14677,-1.17767,0.0722077,1.75311,1.73412,0.0257469
-1.14656,-1.17733,0.0780464,1.75315,1.73502,0.0283619
-1.14636,-1.17695,0.0851922,1.75318,1.73581,0.0312034
-1.14615,-1.17657,0.0912539,1.75322,1.73651,0.0342059
-1.14595,-1.17616,0.0970125,1.75326,1.73715,0.0373462
-1.14574,-1.17573,0.102919,1.7533,1.73755,0.0406249
-1.14554,-1.17535,0.108095,1.75333,1.73793,0.0439984
-1.14535,-1.17491,0.115046,1.75339,1.73811,0.0475508
-1.14516,-1.17448,0.121651,1.75346,1.73822,0.0512557
-1.14497,-1.17404,0.128215,1.75353,1.73819,0.0551037
-1.14478,-1.17355,0.134888,1.75359,1.73802,0.0590929
-1.1446,-1.17305,0.141227,1.75366,1.73779,0.0631996
-1.14441,-1.17253,0.148848,1.75373,1.73744,0.067482
-1.14422,-1.172,0.156524,1.75379,1.73706,0.0719341
-1.14404,-1.17142,0.164543,1.75386,1.73657,0.0765646
-1.14385,-1.17084,0.172597,1.75392,1.73607,0.0813662
-1.14366,-1.17026,0.181848,1.75399,1.73555,0.0863903
-1.14347,-1.16968,0.191072,1.75406,1.73505,0.0916244
-1.14329,-1.16904,0.199399,1.75412,1.7345,0.0970131
-1.1431,-1.16846,0.206583,1.75419,1.73404,0.102492
-1.14291,-1.16788,0.212535,1.75425,1.73357,0.107994
-1.14272,-1.16729,0.218626,1.75432,1.73316,0.113525
-1.14253,-1.16677,0.223976,1.75438,1.73281,0.119048
-1.14235,-1.16628,0.228332,1.75445,1.73255,0.124512
-1.14216,-1.16572,0.23247,1.75451,1.73232,0.12991
-1.14197,-1.1652,0.236401,1.75458,1.73218,0.135235
-1.14178,-1.16468,0.2397,1.75465,1.73209,0.140458
-1.14159,-1.1641,0.24356,1.75471,1.73203,0.145613
-1.14141,-1.16354,0.247664,1.75478,1.73206,0.150716
-1.14122,-1.16302,0.249963,1.75484,1.73215,0.155678
-1.14103,-1.16256,0.253019,1.7549,1.73232,0.160545
-1.14084,-1.16206,0.254324,1.75497,1.73258,0.165234
-1.14065,-1.1616,0.254255,1.75503,1.73287,0.169685
-1.14047,-1.16116,0.253899,1.7551,1.73322,0.173896
-1.14028,-1.16075,0.251961,1.75516,1.7336,0.177799
-1.14009,-1.16035,0.250847,1.75523,1.73401,0.181451
-1.1399,-1.16,0.249062,1.75529,1.73447,0.184832
-1.13971,-1.15962,0.246494,1.75536,1.73491,0.187915
-1.13952,-1.15927,0.244055,1.75542,1.73534,0.190722
-1.13934,-1.15901,0.240138,1.75548,1.73581,0.193193
-1.13915,-1.15875,0.235255,1.75555,1.73627,0.195296
-1.13896,-1.15849,0.231051,1.75561,1.73665,0.197084
-1.13877,-1.15825,0.225749,1.75568,1.73706,0.198517
-1.13859,-1.15802,0.220713,1.75575,1.73741,0.199627
-1.13841,-1.15776,0.2168,1.75583,1.73764,0.200485
-1.13823,-1.15756,0.211921,1.75591,1.73787,0.201057
-1.13805,-1.15732,0.208012,1.75598,1.73802,0.201405
-1.13787,-1.15715,0.203135,1.75606,1.73816,0.201491
-1.13769,-1.15694,0.198066,1.75614,1.73822,0.20132
-1.13751,-1.1568,0.192524,1.75622,1.73828,0.20088
-1.13733,-1.15668,0.186823,1.7563,1.73831,0.200177
-1.13715,-1.15657,0.180535,1.75638,1.73831,0.199195
-1.13697,-1.15645,0.17427,1.75645,1.73822,0.197949
-1.13679,-1.15639,0.168318,1.75653,1.73819,0.196468
-1.13661,-1.1563,0.159902,1.75661,1.73811,0.194639
-1.13643,-1.15625,0.151907,1.75669,1.73805,0.192503
-1.13625,-1.15619,0.145766,1.75677,1.73799,0.190166
-1.13607,-1.15616,0.140803,1.75684,1.73796,0.187698
-1.13589,-1.15613,0.133763,1.75692,1.73793,0.185001
-1.13571,-1.15613,0.127075,1.757,1.73793,0.182105
-1.13553,-1.15613,0.120721,1.75708,1.73793,0.179036
-1.13535,-1.15613,0.114685,1.75715,1.73793,0.175818
-1.13517,-1.15613,0.108951,1.75723,1.73793,0.172475
-1.13499,-1.15613,0.103503,1.75731,1.73793,0.169026
-1.13481,-1.15613,0.0983282,1.75739,1.73793,0.165491
-1.13463,-1.15613,0.0934118,1.75746,1.73793,0.161887
-1.13445,-1.15613,0.0887412,1.75754,1.73793,0.15823
-1.13426,-1.15616,0.0843041,1.75762,1.73796,0.154534
-1.13408,-1.15616,0.0800889,1.75769,1.73796,0.150811
-1.1339,-1.15619,0.0730317,1.75777,1.73799,0.146922
-1.13372,-1.15619,0.0693801,1.75785,1.73799,0.143045
-1.13354,-1.15625,0.0635852,1.75792,1.73805,0.139072
-1.13336,-1.15625,0.0604059,1.758,1.73805,0.135139
-1.13318,-1.15625,0.0573856,1.75808,1.73808,0.131251
-1.133,-1.15628,0.0545164,1.75815,1.73811,0.127415
-1.13282,-1.15628,0.0517905,1.75823,1.73811,0.123633
-1.13264,-1.15628,0.049201,1.75831,1.73816,0.119912
-1.13246,-1.15628,0.046741,1.75838,1.73816,0.116253
-1.13227,-1.15628,0.0444039,1.75846,1.73819,0.112661
-1.13209,-1.15628,0.0421837,1.75853,1.73822,0.109137
-1.13191,-1.15628,0.0400745,1.75861,1.73828,0.105684
-1.13173,-1.15628,0.0380708,1.75869,1.73834,0.102303
-1.13155,-1.15625,0.0361673,1.75876,1.73837,0.0989963
-1.13137,-1.15625,0.0343589,1.75884,1.73846,0.0957644
-1.13119,-1.15619,0.0338039,1.75891,1.73848,0.0926664
-1.13101,-1.15616,0.0321137,1.759,1.73854,0.0896388
-1.13084,-1.1561,0.0332701,1.75909,1.73863,0.0868204
-1.13067,-1.15601,0.0330603,1.75919,1.73866,0.0841323
-1.1305,-1.15593,0.0353323,1.75928,1.73869,0.0816923
-1.13033,-1.15584,0.0363277,1.75937,1.73878,0.0794241
-1.13015,-1.15575,0.0364011,1.75946,1.73886,0.077273
-1.12998,-1.15561,0.0389422,1.75955,1.73889,0.0753564
-1.12981,-1.15546,0.0413562,1.75964,1.73898,0.0736564
-1.12964,-1.15535,0.0420504,1.75973,1.73912,0.0720761
-1.12946,-1.1552,0.0438729,1.75982,1.73924,0.0706659
-1.12929,-1.15505,0.0460403,1.75991,1.73941,0.0694347
-1.12912,-1.15491,0.0480994,1.76,1.73959,0.0683679
-1.12894,-1.15479,0.0496195,1.76009,1.73985,0.0674305
-1.12877,-1.15462,0.0506274,1.76018,1.74008,0.0665903
-1.1286,-1.15447,0.052021,1.76027,1.74035,0.0658619
-1.12843,-1.1543,0.0524727,1.76036,1.74064,0.0651924
-1.12825,-1.15412,0.054501,1.76045,1.74096,0.0646578
-1.12808,-1.15392,0.0568639,1.76054,1.74128,0.0642681
-1.12791,-1.15372,0.0599809,1.76063,1.74162,0.0640538
-1.12773,-1.15351,0.0632327,1.76072,1.74197,0.0640127
-1.12756,-1.15331,0.0660313,1.76081,1.74241,0.0641136
-1.12739,-1.15311,0.0682538,1.7609,1.74282,0.0643207
-1.12721,-1.15287,0.071092,1.76099,1.74322,0.0646592
-1.12704,-1.15267,0.0737884,1.76108,1.74366,0.0651157
-1.12687,-1.15247,0.0760591,1.76116,1.7441,0.0656629
-1.12669,-1.15223,0.0789432,1.76125,1.7445,0.0663269
-1.12652,-1.152,0.0816831,1.76134,1.74482,0.0670947
-1.12635,-1.15174,0.0847221,1.76143,1.74511,0.0679761
-1.12617,-1.15148,0.0876091,1.76152,1.74535,0.0689577
-1.126,-1.15122,0.0910787,1.76161,1.74555,0.0700638
-1.12583,-1.15093,0.0948108,1.7617,1.74561,0.0713011
-1.12565,-1.15061,0.0967573,1.76179,1.74561,0.0725739
-1.12548,-1.15034,0.0994787,1.76188,1.74558,0.0739192
-1.12531,-1.15002,0.102355,1.76196,1.74543,0.0753409
-1.12513,-1.14976,0.105523,1.76205,1.74529,0.0768501
-1.12496,-1.14947,0.108097,1.76214,1.74506,0.0784124
-1.12478,-1.14915,0.110978,1.76223,1.74476,0.0800407
-1.12461,-1.14886,0.114152,1.76232,1.74447,0.0817462
-1.12444,-1.14857,0.116003,1.7624,1.74418,0.0834591
-1.12426,-1.14825,0.118925,1.76249,1.74386,0.0852324
-1.12409,-1.14799,0.122137,1.76258,1.7436,0.0870777
-1.12391,-1.14767,0.124317,1.76267,1.74331,0.0889396
-1.12374,-1.14738,0.126823,1.76276,1.74302,0.0908338
-1.12356,-1.14703,0.129204,1.76284,1.74267,0.0927523
-1.12339,-1.14674,0.132193,1.76293,1.74238,0.0947243
-1.12322,-1.14642,0.134742,1.76302,1.74212,0.0967252
-1.12304,-1.14613,0.136291,1.76311,1.74189,0.0987035
-1.12287,-1.14587,0.136599,1.76319,1.74171,0.100598
-1.12269,-1.14558,0.137619,1.76328,1.74151,0.102449
-1.12252,-1.14531,0.139024,1.76337,1.74136,0.104278
-1.12234,-1.14508,0.139196,1.76345,1.7413,0.106024
-1.12216,-1.14482,0.139796,1.76353,1.74122,0.107713
-1.12198,-1.14459,0.139057,1.76361,1.74122,0.10928
-1.12181,-1.14436,0.138791,1.7637,1.74122,0.110755
-1.12163,-1.14412,0.138103,1.76378,1.74125,0.112123
-1.12145,-1.14392,0.137448,1.76386,1.7413,0.113389
-1.12127,-1.14369,0.136536,1.76394,1.74139,0.114546
-1.12109,-1.14348,0.135233,1.76402,1.74151,0.115581
-1.12092,-1.14328,0.133996,1.7641,1.7416,0.116501
-1.12074,-1.14308,0.133547,1.76419,1.74168,0.117354
-1.12056,-1.1429,0.131521,1.76427,1.74183,0.118062
-1.12038,-1.1427,0.129597,1.76435,1.74186,0.118639
-1.1202,-1.14252,0.128641,1.76443,1.74194,0.119139
-1.12002,-1.14235,0.126861,1.76451,1.742,0.119525
-1.11985,-1.1422,0.124879,1.76459,1.74206,0.119793
-1.11967,-1.14203,0.122124,1.76467,1.74209,0.119909
-1.11949,-1.14186,0.12067,1.76475,1.74209,0.119947
-1.11931,-1.14171,0.119288,1.76484,1.74209,0.119914
-1.11913,-1.14154,0.118848,1.76492,1.74203,0.119861
-1.11895,-1.14136,0.117993,1.765,1.74197,0.119768
-1.11877,-1.14122,0.116019,1.76508,1.74192,0.11958
-1.1186,-1.14107,0.11487,1.76516,1.74186,0.119345
-1.11842,-1.1409,0.114214,1.76524,1.74174,0.119088
-1.11824,-1.14075,0.112865,1.76532,1.74165,0.118777
-1.11806,-1.1406,0.111146,1.7654,1.74154,0.118395
-1.11788,-1.14046,0.10995,1.76548,1.74145,0.117973
-1.1177,-1.14031,0.109104,1.76556,1.74136,0.11753
-1.11752,-1.14017,0.10801,1.76564,1.74125,0.117054
-1.11734,-1.14002,0.105663,1.76572,1.74113,0.116484
-1.11716,-1.13988,0.105031,1.7658,1.74101,0.115912
-1.11698,-1.13973,0.104141,1.76588,1.74093,0.115323
-1.1168,-1.13959,0.103586,1.76596,1.74081,0.114736
-1.11663,-1.13944,0.102331,1.76604,1.74072,0.114116
-1.11645,-1.1393,0.101576,1.76612,1.74066,0.113489
-1.11627,-1.13915,0.101585,1.7662,1.74058,0.112894
-1.11609,-1.13898,0.100867,1.76628,1.74049,0.112292
-1.11591,-1.13883,0.0993125,1.76636,1.74046,0.111643
-1.11573,-1.13869,0.0978358,1.76644,1.74043,0.110953
-1.11555,-1.13854,0.0973051,1.76652,1.74043,0.110271
-1.11537,-1.13842,0.0963648,1.7666,1.74046,0.109575
-1.11519,-1.13828,0.0959077,1.76668,1.74052,0.108892
-1.11501,-1.1381,0.0954734,1.76676,1.74055,0.108221
-1.11483,-1.13796,0.0957877,1.76684,1.74061,0.107599
-1.11465,-1.13781,0.0953594,1.76691,1.74069,0.106987
-1.11447,-1.13767,0.0949526,1.76699,1.74078,0.106386
-1.11429,-1.13749,0.0952929,1.76707,1.74087,0.105831
-1.11411,-1.13735,0.0948894,1.76715,1.74104,0.105284
-1.11393,-1.1372,0.094506,1.76723,1.74119,0.104745
-1.11375,-1.13703,0.0944326,1.76731,1.74136,0.104229
-1.11357,-1.13688,0.0947989,1.76739,1.74154,0.103758
-1.11339,-1.13671,0.0947108,1.76746,1.74174,0.103306
-1.11321,-1.13653,0.0950632,1.76754,1.74194,0.102893
-1.11303,-1.13639,0.095398,1.76763,1.74218,0.102519
-1.11287,-1.13619,0.09528,1.76773,1.74241,0.102157
-1.1127,-1.13601,0.0951678,1.76783,1.74267,0.101807
-1.11253,-1.13584,0.0959335,1.76793,1.74293,0.101514
-1.11236,-1.13563,0.0962248,1.76803,1.74325,0.101249
-1.1122,-1.13543,0.0969376,1.76813,1.74357,0.101034
-1.11203,-1.13523,0.0976148,1.76823,1.74389,0.100863
-1.11186,-1.13505,0.0982582,1.76833,1.74427,0.100732
-1.1117,-1.13482,0.0993054,1.76843,1.74465,0.100661
-1.11153,-1.13462,0.100591,1.76853,1.74508,0.100658
-1.11136,-1.13441,0.10065,1.76863,1.74552,0.100657
-1.11119,-1.13421,0.102304,1.76873,1.74601,0.10074
-1.11103,-1.13398,0.103876,1.76883,1.74645,0.100896
-1.11086,-1.13374,0.105369,1.76893,1.74694,0.10112
-1.11069,-1.13351,0.106788,1.76903,1.74741,0.101403
-1.11052,-1.13331,0.107699,1.76913,1.74793,0.101718
-1.11036,-1.13307,0.109001,1.76923,1.7484,0.102082
-1.11019,-1.13281,0.109802,1.76933,1.74881,0.102468
-1.11002,-1.13261,0.110272,1.76943,1.74924,0.102859
-1.10985,-1.13235,0.11101,1.76953,1.74962,0.103266
-1.10968,-1.13212,0.112582,1.76963,1.75,0.103732
-1.10952,-1.13185,0.114512,1.76973,1.75032,0.104271
-1.10935,-1.13162,0.116346,1.76983,1.75064,0.104875
-1.10918,-1.13136,0.117652,1.76993,1.75087,0.105514
-1.10901,-1.13113,0.118892,1.77003,1.75113,0.106182
-1.10884,-1.13087,0.120071,1.77012,1.75128,0.106877
-1.10868,-1.1306,0.120754,1.77022,1.75136,0.107571
-1.10851,-1.13034,0.121404,1.77032,1.75145,0.108262
-1.10834,-1.13008,0.122457,1.77042,1.75142,0.108972
-1.10817,-1.12985,0.123457,1.77052,1.75136,0.109696
-1.108,-1.12959,0.124407,1.77062,1.75125,0.110432
-1.10783,-1.12935,0.124874,1.77072,1.75113,0.111154
-1.10767,-1.12912,0.125753,1.77082,1.75096,0.111884
-1.1075,-1.12889,0.125717,1.77091,1.75078,0.112576
-1.10733,-1.12863,0.126118,1.77101,1.75055,0.113253
-1.10716,-1.12842,0.125336,1.77111,1.75035,0.113857
-1.10699,-1.12819,0.12532,1.77121,1.75014,0.11443
-1.10682,-1.12796,0.125305,1.77131,1.74991,0.114974
-1.10665,-1.12775,0.125,1.7714,1.74974,0.115475
-1.10648,-1.12755,0.12471,1.7715,1.74959,0.115937
-1.10632,-1.12735,0.123999,1.7716,1.74945,0.11634
-1.10615,-1.12714,0.122887,1.7717,1.7493,0.116667
-1.10598,-1.12697,0.122267,1.7718,1.74924,0.116947
-1.10581,-1.12679,0.121677,1.77189,1.74918,0.117184
-1.10564,-1.12662,0.120245,1.77199,1.74915,0.117337
-1.10547,-1.12647,0.118594,1.77209,1.74915,0.1174
