torque_1,torque_1_t,torque_2,torque_2_t
1.06672,-0.196875,1.3353,-0.896875
1.07407,0.56875,1.3367,-0.83125
1.07801,0.875,1.33912,-0.91875
1.06466,0.940625,1.33637,-1.15938
1.04021,1.09375,1.32842,-1.11563
1.01868,1.1375,1.31527,-0.91875
1.00129,1.20312,1.29492,-1.15938
0.978664,1.24687,1.27142,-1.225
0.957565,1.35625,1.23867,-1.15938
0.942612,1.24687,1.19671,-1.18125
0.925654,1.33438,1.15026,-1.20312
0.906058,1.20312,1.098,-1.18125
0.888453,1.33438,1.0406,-1.26875
0.873286,1.225,0.983157,-1.26875
0.859556,1.18125,0.923649,-1.33438
0.841529,1.15938,0.868164,-1.35625
0.824065,1.24687,0.814673,-1.44375
0.8068,1.225,0.769956,-1.3125
0.78056,0.590625,0.727549,-1.225
0.750691,1.18125,0.688117,-1.26875
0.720611,1.20312,0.651661,-1.225
0.686556,1.05,0.620208,-1.26875
0.644598,0.940625,0.592363,-1.1375
0.608411,1.09375,0.567839,-1.11563
0.572372,0.91875,0.545282,-1.11563
0.534924,0.91875,0.530796,-0.984375
0.502819,0.7875,0.516931,-1.11563
0.459446,0.7,0.511149,-0.9625
0.417811,0.7875,0.507676,-1.3125
0.376374,0.56875,0.50922,-0.853125
0.332362,0.284375,0.515431,-1.00625
0.289668,0.65625,0.523968,-0.875
0.239896,0.48125,0.536488,-1.00625
0.189849,0.503125,0.549591,-0.83125
0.135701,0.35,0.567025,-0.91875
0.0817277,0.35,0.584023,-0.809375
0.0217724,0.35,0.602277,-0.896875
-0.0380507,0.30625,0.619409,-0.765625
-0.0957724,0.153125,0.638149,-0.875
-0.145393,0.21875,0.654142,-0.74375
-0.188856,0.196875,0.669772,-0.853125
-0.233012,-0.065625,0.683702,-0.765625
-0.27143,-0.109375,0.695252,-0.7875
-0.304208,-0.196875,0.704129,-0.83125
-0.337582,-0.240625,0.71167,-0.7875
-0.368905,-0.328125,0.716546,-0.83125
-0.397064,-0.371875,0.719437,-0.678125
-0.430067,-0.35,0.720995,-0.875
-0.463619,-0.4375,0.719876,-0.74375
-0.486782,-0.48125,0.716442,-0.765625
-0.511696,-0.48125,0.710003,-0.809375
-0.528868,-0.48125,0.70095,-0.721875
-0.538154,-0.590625,0.690649,-0.83125
-0.545337,-0.503125,0.678782,-0.7875
-0.543246,-0.6125,0.665702,-0.940625
-0.545273,-0.6125,0.652079,-0.875
-0.541909,-0.765625,0.636208,-0.83125
-0.535648,-0.83125,0.621852,-0.875
-0.529012,-0.7,0.607285,-0.853125
-0.512287,-0.65625,0.591868,-0.83125
-0.490376,-0.371875,0.576985,-0.875
-0.471867,-0.546875,0.564962,-0.896875
-0.44685,-0.7875,0.552449,-0.896875
-0.423508,-0.546875,0.542133,-0.940625
-0.406804,-0.56875,0.536363,-0.7875
-0.383228,-0.525,0.530737,-1.00625
-0.365524,-0.48125,0.527925,-0.853125
-0.340947,-0.546875,0.525594,-0.940625
-0.316426,-0.56875,0.526444,-0.74375
-0.287503,-0.48125,0.527429,-0.853125
-0.256767,-0.415625,0.529563,-0.74375
-0.223096,-0.4375,0.532854,-0.896875
-0.189543,-0.328125,0.53898,-0.83125
-0.15552,-0.35,0.543538,-0.9625
-0.110194,-0.04375,0.550305,-0.765625
-0.0659533,-0.04375,0.556208,-0.896875
-0.0309801,-0.35,0.562212,-0.74375
-0.000885942,-0.21875,0.566914,-0.853125
0.0395973,-0.284375,0.57208,-0.74375
0.0793381,0.04375,0.576328,-0.896875
0.117407,0.0875,0.580662,-0.809375
0.153887,0.109375,0.584721,-0.83125
0.188858,0.13125,0.589193,-0.7875
0.222396,0.175,0.593717,-0.65625
0.254572,0.39375,0.598284,-0.83125
0.285454,0.153125,0.602536,-0.809375
0.315107,0.240625,0.607165,-0.853125
0.34496,0.328125,0.610796,-0.7
0.372336,0.459375,0.615107,-0.91875
0.41494,0.35,0.618834,-0.809375
0.439498,0.30625,0.623572,-0.875
0.476807,0.459375,0.625973,-0.74375
0.499004,0.503125,0.63074,-0.896875
0.520405,0.415625,0.634466,-0.765625
0.542069,0.459375,0.637817,-0.765625
0.561998,0.48125,0.642508,-0.765625
0.581246,0.6125,0.645133,-0.896875
0.599846,0.546875,0.649413,-0.74375
0.618181,0.809375,0.652991,-0.896875
0.635582,0.678125,0.656186,-0.809375
0.652428,0.721875,0.658677,-0.634375
0.668747,0.809375,0.661132,-1.07187
0.683547,0.984375,0.664218,-0.809375
0.698889,0.853125,0.665581,-0.853125
0.705929,0.809375,0.668563,-0.809375
0.719662,0.809375,0.671191,-0.896875
0.717795,0.853125,0.672698,-0.809375
0.721741,0.7875,0.676524,-0.875
0.713279,0.875,0.679876,-0.7875
0.711199,0.853125,0.681108,-0.853125
0.714079,0.9625,0.682281,-0.83125
0.702235,0.940625,0.685371,-0.7875
0.691027,0.9625,0.686318,-0.896875
0.689436,0.896875,0.685171,-0.853125
0.681536,0.984375,0.684955,-0.7875
0.67156,1.07187,0.682615,-0.875
0.662127,0.896875,0.680193,-0.875
0.656756,0.91875,0.674654,-0.83125
0.651561,0.896875,0.670083,-0.853125
0.645455,0.875,0.664439,-0.7875
0.643041,0.875,0.657748,-0.7875
0.633094,0.83125,0.649971,-0.765625
0.620107,0.875,0.642123,-0.74375
0.603348,0.809375,0.633169,-0.83125
0.586266,0.809375,0.624128,-0.74375
0.5711,0.765625,0.611964,-0.765625
0.558814,0.83125,0.600764,-0.74375
0.542782,0.7875,0.589499,-0.809375
0.528128,0.853125,0.577156,-0.809375
0.515601,0.765625,0.564419,-0.83125
0.49934,0.65625,0.552991,-0.83125
0.483449,0.809375,0.544563,-0.809375
0.465046,0.678125,0.537097,-0.9625
0.447753,0.721875,0.531615,-0.91875
0.427196,0.6125,0.527089,-0.91875
0.40431,0.634375,0.527585,-0.91875
0.389684,0.6125,0.530099,-0.875
0.372868,0.6125,0.533594,-0.875
0.353245,0.678125,0.540771,-0.7875
0.334544,0.765625,0.548254,-0.875
0.317449,0.546875,0.558764,-0.83125
0.298149,0.546875,0.571275,-0.896875
0.278057,0.503125,0.583749,-0.7875
0.264573,0.39375,0.595868,-0.7
0.245069,0.4375,0.609325,-0.853125
0.2258,0.4375,0.620711,-0.853125
0.21001,0.525,0.633106,-0.7875
0.193253,0.328125,0.645484,-0.7875
0.175436,0.30625,0.659536,-0.7875
0.156266,0.328125,0.671876,-0.7875
0.138279,0.30625,0.683184,-0.875
0.126658,0.30625,0.693486,-0.7875
0.121906,0.503125,0.701444,-0.875
0.11293,0.175,0.710791,-0.809375
0.102696,0.240625,0.718115,-0.83125
0.0999958,0.39375,0.722077,-0.896875
0.0941403,0.35,0.727086,-0.875
0.0959939,0.2625,0.729102,-0.721875
0.0951322,0.35,0.731514,-0.875
0.0967346,0.175,0.732613,-0.940625
0.0991825,0.153125,0.732745,-0.91875
0.101903,0.196875,0.731913,-0.9625
0.107593,0.153125,0.730126,-0.83125
0.112608,-0.153125,0.729413,-0.940625
0.114029,0.175,0.729084,-0.984375
0.124351,0.30625,0.726442,-1.00625
0.133149,0.109375,0.727936,-1.07187
0.138123,0.371875,0.727433,-1.07187
0.147218,0.175,0.728004,-1.05
0.15799,0.240625,0.728635,-1.1375
0.17196,-0.065625,0.73036,-0.9625
0.179426,0.328125,0.733141,-1.00625
0.187546,-0.04375,0.736307,-1.05
0.189942,0.284375,0.741169,-1.09375
0.194409,0,0.746051,-1.11563
0.205494,0.48125,0.75098,-1.07187
0.212102,0.196875,0.755933,-0.984375
0.215574,0.35,0.762931,-1.05
0.223534,0.04375,0.76894,-1.05
0.233337,0.328125,0.776001,-1.09375
0.24053,0.240625,0.782065,-1.05
0.24597,0.153125,0.788139,-1.05
0.252653,0.240625,0.795248,-1.09375
0.265604,0.13125,0.802403,-1.05
0.269972,0.2625,0.809559,-1.09375
0.275636,0.240625,0.815706,-1.3125
0.279624,0.284375,0.82287,-1.09375
0.286758,0.30625,0.829033,-1.07187
0.291747,0.196875,0.834182,-1.09375
0.292913,0.39375,0.840332,-1.09375
0.296699,0.2625,0.846486,-1.1375
0.305683,0.48125,0.850628,-1.07187
0.314279,0.2625,0.854791,-1.11563
0.318144,0.503125,0.857932,-1.02812
0.325075,0.35,0.860062,-1.11563
0.328573,0.39375,0.861168,-1.15938
0.330938,0.328125,0.863286,-1.11563
0.330579,0.415625,0.864362,-1.09375
0.333932,0.328125,0.864065,-1.09375
0.337179,0.459375,0.864113,-1.09375
0.335672,0.35,0.864138,-1.07187
0.338901,0.525,0.861106,-1.07187
0.34203,0.371875,0.859087,-1.11563
0.342592,0.525,0.856039,-1.11563
0.341972,0.415625,0.85297,-1.05
0.342607,0.503125,0.848523,-1.00625
0.341039,0.39375,0.844406,-1.07187
0.340577,0.590625,0.839602,-1.09375
0.339645,0.415625,0.835142,-1.07187
0.34005,0.546875,0.829659,-1.05
0.336066,0.4375,0.824147,-1.05
0.333436,0.459375,0.816586,-1.09375
0.328349,0.4375,0.809,-1.07187
0.32379,0.459375,0.801392,-1.05
0.320417,0.459375,0.791729,-1.02812
0.31264,0.721875,0.782036,-1.00625
0.305039,0.328125,0.770273,-1.02812
0.303574,0.503125,0.75851,-1.02812
0.294128,0.371875,0.74467,-1.02812
0.283728,0.525,0.732827,-1.00625
0.274071,0.415625,0.718916,-0.984375
0.264787,0.590625,0.705993,-0.984375
0.259056,0.30625,0.691019,-1.02812
0.250005,0.525,0.678056,-0.7875
0.242793,0.459375,0.667116,-0.83125
0.239269,0.56875,0.655157,-1.00625
0.232374,0.35,0.645225,-0.9625
0.22232,0.525,0.635263,-0.765625
0.209111,0.30625,0.6273,-0.853125
0.197752,0.459375,0.619305,-0.875
0.188015,0.4375,0.614345,-0.984375
0.179621,0.328125,0.608352,-0.91875
0.17052,0.30625,0.606067,-0.896875
0.163544,0.4375,0.606167,-0.940625
0.157089,0.371875,0.606268,-1.05
0.148616,0.459375,0.610431,-0.896875
0.141424,0.196875,0.615604,-1.05
0.133464,0.284375,0.622807,-0.91875
0.12894,0.153125,0.630016,-0.984375
0.122002,0.2625,0.639257,-0.875
0.119995,0.2625,0.648166,-1.02812
0.114781,0.2625,0.659468,-0.809375
0.117517,0.196875,0.66979,-1.00625
0.115405,0.30625,0.680126,-0.875
0.11329,0.21875,0.691495,-0.9625
0.113642,0.240625,0.7005,-0.896875
0.113918,0.153125,0.708857,-0.940625
0.115952,0.328125,0.717243,-0.91875
0.120339,0.196875,0.725668,-1.00625
0.123285,0.21875,0.731063,-0.91875
0.126076,0.21875,0.73613,-0.896875
0.13308,0.21875,0.740571,-0.7875
0.142198,0.196875,0.744039,-0.91875
0.149449,0.196875,0.746524,-0.875
0.156381,0.459375,0.747671,-1.05
0.171005,0.196875,0.748218,-0.875
0.180579,0.30625,0.746768,-0.875
0.190736,0.153125,0.744335,-0.91875
0.198298,0.328125,0.742589,-0.940625
0.213135,0.30625,0.738191,-0.940625
0.225195,0.328125,0.732809,-0.940625
0.237959,0.196875,0.728135,-0.896875
0.253668,0.415625,0.721819,-0.984375
0.268933,0.284375,0.717587,-0.984375
0.291379,0.35,0.709007,-1.00625
0.317695,0.35,0.703923,-0.940625
0.329698,0.39375,0.697167,-1.09375
0.336627,0.30625,0.693456,-1.02812
0.346535,0.4375,0.689081,-1.02812
0.360777,0.39375,0.684374,-1.00625
0.380497,0.35,0.684144,-1.1375
0.392381,0.4375,0.682555,-1.00625
0.404661,0.415625,0.684386,-1.11563
0.413444,0.459375,0.684841,-1.05
0.420512,0.415625,0.688332,-1.18125
0.435401,0.459375,0.692197,-1.02812
0.451177,0.48125,0.697775,-1.02812
0.46169,0.56875,0.705742,-1.05
0.46381,0.525,0.713321,-1.00625
0.470603,0.6125,0.720215,-0.984375
0.486393,0.459375,0.727809,-0.91875
0.487711,0.6125,0.735363,-0.940625
0.492724,0.371875,0.743247,-0.91875
0.50561,0.678125,0.750801,-1.02812
0.509983,0.634375,0.758681,-0.91875
0.521242,0.678125,0.767246,-1.02812
0.526201,0.65625,0.775796,-0.91875
0.521829,0.65625,0.782595,-1.05
0.515769,0.546875,0.792036,-0.984375
0.513235,0.7,0.799396,-1.05
0.513085,0.678125,0.806057,-1.02812
0.518833,0.7,0.812368,-1.07187
