angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.15086,-1.1743,0,1.75233,1.70339,0
-1.15065,-1.1741,0.00436111,1.75237,1.70319,0.000218056
-1.15045,-1.17381,0.0108301,1.75241,1.7029,0.000748657
-1.15025,-1.17346,0.0185747,1.75245,1.70258,0.00163996
-1.15004,-1.17317,0.0238969,1.75249,1.70229,0.00275281
-1.14984,-1.17299,0.0286622,1.75253,1.70211,0.00404828
-1.14963,-1.17282,0.030718,1.75257,1.70194,0.00538176
-1.14943,-1.17262,0.0347062,1.75261,1.70173,0.00684798
-1.14922,-1.17244,0.0389311,1.75265,1.70156,0.00845214
-1.14902,-1.17218,0.0429447,1.75269,1.7013,0.0101768
-1.14881,-1.17195,0.0474845,1.75272,1.70107,0.0120422
-1.14861,-1.17169,0.0522334,1.75276,1.7008,0.0140517
-1.14841,-1.17145,0.0563088,1.7528,1.70057,0.0161646
-1.1482,-1.17122,0.0601804,1.75284,1.70034,0.0183654
-1.148,-1.17099,0.0638584,1.75288,1.70011,0.02064
-1.14779,-1.17073,0.0682247,1.75292,1.69984,0.0230192
-1.14759,-1.17046,0.0719366,1.75296,1.69958,0.0254651
-1.14738,-1.17017,0.0758991,1.75299,1.69929,0.0279868
-1.14718,-1.16988,0.0803902,1.75303,1.699,0.030607
-1.14697,-1.16959,0.0846568,1.75307,1.69871,0.0333095
-1.14677,-1.16933,0.0887101,1.75311,1.69845,0.0360795
-1.14656,-1.16904,0.0913977,1.75315,1.69816,0.0388454
-1.14636,-1.16875,0.0943871,1.75318,1.69787,0.0416225
-1.14615,-1.16846,0.0975178,1.75322,1.69758,0.0444173
-1.14595,-1.16817,0.100928,1.75326,1.69729,0.0472428
-1.14574,-1.16791,0.104168,1.7533,1.69702,0.050089
-1.14554,-1.16759,0.108118,1.75333,1.6967,0.0529905
-1.14535,-1.16727,0.110998,1.75339,1.69639,0.0558908
-1.14516,-1.16695,0.11417,1.75346,1.69607,0.0588048
-1.14497,-1.16663,0.116748,1.75353,1.69575,0.061702
-1.14478,-1.16631,0.119197,1.75359,1.69543,0.0645767
-1.1446,-1.16599,0.122395,1.75366,1.69511,0.0674676
-1.14441,-1.16567,0.123835,1.75373,1.69482,0.070286
-1.14422,-1.16535,0.127528,1.75379,1.6945,0.0731481
-1.14404,-1.165,0.130601,1.75386,1.69415,0.0760207
-1.14385,-1.16468,0.132793,1.75392,1.69383,0.0788593
-1.14366,-1.16433,0.136475,1.75399,1.69348,0.0817401
-1.14347,-1.16398,0.139536,1.75406,1.69313,0.0846299
-1.14329,-1.16363,0.142008,1.75412,1.69278,0.0874988
-1.1431,-1.16325,0.144066,1.75419,1.6924,0.0903271
-1.14291,-1.1629,0.146748,1.75425,1.69205,0.0931482
-1.14272,-1.16256,0.150168,1.75432,1.6917,0.0959992
-1.14253,-1.16218,0.153417,1.75438,1.69133,0.0988701
-1.14235,-1.1618,0.156794,1.75445,1.69095,0.101766
-1.14216,-1.16145,0.15884,1.75451,1.6906,0.10462
-1.14197,-1.1611,0.160056,1.75458,1.69025,0.107392
-1.14178,-1.16055,0.161939,1.75465,1.6897,0.110119
-1.14159,-1.15991,0.163727,1.75471,1.68909,0.112799
-1.14141,-1.15962,0.164699,1.75478,1.6888,0.115394
-1.14122,-1.15927,0.166785,1.75484,1.68845,0.117964
-1.14103,-1.15898,0.167895,1.7549,1.68816,0.120461
-1.14084,-1.15866,0.168949,1.75497,1.68784,0.122885
-1.14065,-1.15837,0.170823,1.75503,1.68755,0.125282
-1.14047,-1.15808,0.172167,1.7551,1.68726,0.127626
-1.14028,-1.15779,0.17388,1.75516,1.68699,0.129939
-1.14009,-1.15744,0.175071,1.75523,1.68665,0.132195
-1.1399,-1.15706,0.176203,1.75529,1.68627,0.134396
-1.13971,-1.15671,0.177714,1.75536,1.68592,0.136562
-1.13952,-1.15633,0.17915,1.75542,1.68557,0.138691
-1.13934,-1.15599,0.179641,1.75548,1.68522,0.140739
-1.13915,-1.15564,0.181707,1.75555,1.68487,0.142787
-1.13896,-1.15529,0.182943,1.75561,1.68455,0.144795
-1.13877,-1.15494,0.183681,1.75568,1.6842,0.146739
-1.13859,-1.15456,0.185255,1.75575,1.68385,0.148665
-1.13841,-1.15418,0.186313,1.75583,1.68348,0.150547
-1.13823,-1.15386,0.186447,1.75591,1.68319,0.152342
-1.13805,-1.15348,0.187446,1.75598,1.68281,0.154098
-1.13787,-1.15316,0.187522,1.75606,1.68252,0.155769
-1.13769,-1.15279,0.186868,1.75614,1.68214,0.157324
-1.13751,-1.15247,0.187846,1.75622,1.68188,0.15885
-1.13733,-1.15212,0.187903,1.7563,1.68156,0.160303
-1.13715,-1.1518,0.188393,1.75638,1.68127,0.161707
-1.13697,-1.15145,0.188132,1.75645,1.68095,0.163028
-1.13679,-1.15113,0.18861,1.75653,1.68066,0.164307
-1.13661,-1.15078,0.189065,1.75661,1.68034,0.165545
-1.13643,-1.15046,0.18877,1.75669,1.68005,0.166707
-1.13625,-1.15011,0.189217,1.75677,1.67975,0.167832
-1.13607,-1.14976,0.190077,1.75684,1.67943,0.168944
-1.13589,-1.14944,0.189732,1.75692,1.67914,0.169984
-1.13571,-1.14907,0.189694,1.757,1.67885,0.170969
-1.13553,-1.14875,0.190531,1.75708,1.67859,0.171947
-1.13535,-1.1484,0.190889,1.75715,1.6783,0.172894
-1.13517,-1.14805,0.190794,1.75723,1.67801,0.173789
-1.13499,-1.1477,0.190703,1.75731,1.67772,0.174635
-1.13481,-1.14738,0.190617,1.75739,1.67749,0.175434
-1.13463,-1.14703,0.190245,1.75746,1.67723,0.176175
-1.13445,-1.14674,0.190618,1.75754,1.67702,0.176897
-1.13426,-1.14639,0.191408,1.75762,1.67673,0.177622
-1.13408,-1.1461,0.191723,1.75769,1.67656,0.178327
-1.1339,-1.14578,0.191295,1.75777,1.67632,0.178976
-1.13372,-1.14549,0.190889,1.75785,1.67612,0.179571
-1.13354,-1.1452,0.190503,1.75792,1.67595,0.180118
-1.13336,-1.14491,0.1897,1.758,1.67574,0.180597
-1.13318,-1.14459,0.189664,1.75808,1.67554,0.18105
-1.133,-1.14427,0.189339,1.75815,1.67536,0.181465
-1.13282,-1.14395,0.188594,1.75823,1.67519,0.181821
-1.13264,-1.1436,0.18905,1.75831,1.67499,0.182183
-1.13246,-1.14325,0.188319,1.75838,1.67481,0.18249
-1.13227,-1.14293,0.187626,1.75846,1.67467,0.182746
-1.13209,-1.14261,0.186967,1.75853,1.67455,0.182957
-1.13191,-1.14226,0.188666,1.75861,1.67441,0.183243
-1.13173,-1.14194,0.187519,1.75869,1.67429,0.183457
-1.13155,-1.14159,0.188028,1.75876,1.67417,0.183685
-1.13137,-1.14124,0.188076,1.75884,1.67409,0.183905
-1.13119,-1.14092,0.188557,1.75891,1.674,0.184137
-1.13101,-1.14058,0.189015,1.759,1.67394,0.184381
-1.13084,-1.14023,0.189013,1.75909,1.67388,0.184613
-1.13067,-1.13994,0.189448,1.75919,1.67388,0.184855
-1.1305,-1.13962,0.189134,1.75928,1.67385,0.185069
-1.13033,-1.1393,0.189126,1.75937,1.67385,0.185271
-1.13015,-1.13898,0.189119,1.75946,1.67391,0.185464
-1.12998,-1.13866,0.188385,1.75955,1.67397,0.18561
-1.12981,-1.13834,0.187688,1.75964,1.67409,0.185714
-1.12964,-1.13802,0.187753,1.75973,1.67417,0.185816
-1.12946,-1.1377,0.187523,1.75982,1.67435,0.185901
-1.12929,-1.13738,0.187596,1.75991,1.67452,0.185986
-1.12912,-1.13706,0.186939,1.76,1.67475,0.186034
-1.12894,-1.13677,0.186314,1.76009,1.67504,0.186048
-1.12877,-1.13648,0.186157,1.76018,1.67542,0.186053
-1.1286,-1.13616,0.185135,1.76027,1.6758,0.186007
-1.12843,-1.13584,0.185327,1.76036,1.67618,0.185973
-1.12825,-1.13558,0.185219,1.76045,1.67664,0.185935
-1.12808,-1.13528,0.185117,1.76054,1.67702,0.185894
-1.12791,-1.13505,0.184147,1.76063,1.67743,0.185807
-1.12773,-1.13476,0.183226,1.76072,1.67786,0.185678
-1.12756,-1.1345,0.183223,1.76081,1.67821,0.185555
-1.12739,-1.13424,0.182784,1.7609,1.6785,0.185417
-1.12721,-1.13398,0.182367,1.76099,1.6788,0.185264
-1.12704,-1.13369,0.181535,1.76108,1.67906,0.185078
-1.12687,-1.13342,0.180308,1.76116,1.67929,0.184839
-1.12669,-1.13313,0.179579,1.76125,1.67941,0.184576
-1.12652,-1.13284,0.17845,1.76134,1.67943,0.18427
-1.12635,-1.13255,0.177813,1.76143,1.67941,0.183947
-1.12617,-1.13229,0.176046,1.76152,1.67932,0.183552
-1.126,-1.13203,0.175093,1.76161,1.67914,0.183129
-1.12583,-1.13174,0.174189,1.7617,1.67885,0.182682
-1.12565,-1.13148,0.172602,1.76179,1.67859,0.182178
-1.12548,-1.13107,0.171096,1.76188,1.67818,0.181624
-1.12531,-1.13081,0.1701,1.76196,1.67792,0.181048
-1.12513,-1.13052,0.168718,1.76205,1.67763,0.180431
-1.12496,-1.13025,0.168132,1.76214,1.67737,0.179816
-1.12478,-1.12999,0.167285,1.76223,1.67711,0.17919
-1.12461,-1.1297,0.166771,1.76232,1.67682,0.178569
-1.12444,-1.12944,0.166282,1.7624,1.67656,0.177954
-1.12426,-1.12918,0.167126,1.76249,1.67629,0.177413
-1.12409,-1.12892,0.167056,1.76258,1.67603,0.176895
-1.12391,-1.12866,0.166989,1.76267,1.67577,0.1764
-1.12374,-1.12839,0.165763,1.76276,1.67551,0.175868
-1.12356,-1.1281,0.165325,1.76284,1.67522,0.175341
-1.12339,-1.12781,0.165345,1.76293,1.67493,0.174841
-1.12322,-1.12752,0.165364,1.76302,1.67464,0.174367
-1.12304,-1.12723,0.165382,1.76311,1.67435,0.173918
-1.12287,-1.12694,0.164963,1.76319,1.67409,0.17347
-1.12269,-1.12665,0.164564,1.76328,1.67379,0.173025
-1.12252,-1.12636,0.164186,1.76337,1.67353,0.172583
-1.12234,-1.12604,0.165426,1.76345,1.67321,0.172225
-1.12216,-1.12575,0.165441,1.76353,1.67298,0.171886
-1.12198,-1.1254,0.165455,1.76361,1.67266,0.171564
-1.12181,-1.12508,0.165904,1.7637,1.67237,0.171281
-1.12163,-1.12479,0.165895,1.76378,1.67214,0.171012
-1.12145,-1.12447,0.16705,1.76386,1.67188,0.170814
-1.12127,-1.12418,0.166983,1.76394,1.67164,0.170622
-1.12109,-1.12386,0.167792,1.76402,1.67141,0.170481
-1.12092,-1.12357,0.168561,1.7641,1.67118,0.170385
-1.12074,-1.12325,0.167983,1.76419,1.67095,0.170265
-1.12056,-1.12299,0.167434,1.76427,1.67074,0.170123
-1.12038,-1.12272,0.167784,1.76435,1.67054,0.170006
-1.1202,-1.12246,0.168844,1.76443,1.67033,0.169948
-1.12002,-1.1222,0.16956,1.76451,1.67013,0.169929
-1.11985,-1.12191,0.170241,1.76459,1.66993,0.169944
-1.11967,-1.12162,0.170451,1.76467,1.66972,0.16997
-1.11949,-1.12136,0.170214,1.76475,1.66952,0.169982
-1.11931,-1.12101,0.16999,1.76484,1.66923,0.169982
-1.11913,-1.12072,0.170939,1.76492,1.66903,0.17003
-1.11895,-1.1204,0.171115,1.765,1.66879,0.170084
-1.11877,-1.12008,0.170845,1.76508,1.6685,0.170122
-1.1186,-1.11979,0.170589,1.76516,1.66827,0.170146
-1.11842,-1.1195,0.171218,1.76524,1.66807,0.170199
-1.11824,-1.11918,0.172106,1.76532,1.66781,0.170295
-1.11806,-1.11886,0.172659,1.7654,1.66754,0.170413
-1.11788,-1.11854,0.173184,1.76548,1.66728,0.170551
-1.1177,-1.11822,0.173247,1.76556,1.66702,0.170686
-1.11752,-1.11787,0.17447,1.76564,1.66676,0.170875
-1.11734,-1.11755,0.174469,1.76572,1.6665,0.171055
-1.11716,-1.1172,0.174904,1.7658,1.66621,0.171248
-1.11698,-1.11685,0.175317,1.76588,1.66592,0.171451
-1.1168,-1.11653,0.175709,1.76596,1.66565,0.171664
-1.11663,-1.11618,0.176082,1.76604,1.66539,0.171885
-1.11645,-1.11586,0.177163,1.76612,1.66513,0.172149
-1.11627,-1.11551,0.17819,1.7662,1.66484,0.172451
-1.11609,-1.11519,0.178003,1.76628,1.66458,0.172729
-1.11591,-1.11487,0.177825,1.76636,1.66432,0.172983
-1.11573,-1.11455,0.178092,1.76644,1.66408,0.173239
-1.11555,-1.11421,0.178346,1.76652,1.66376,0.173494
-1.11537,-1.11391,0.179314,1.7666,1.66353,0.173785
-1.11519,-1.1136,0.17907,1.76668,1.66327,0.174049
-1.11501,-1.11328,0.179275,1.76676,1.66301,0.174311
-1.11483,-1.11296,0.179034,1.76684,1.66278,0.174547
-1.11465,-1.11266,0.178804,1.76691,1.66251,0.17476
-1.11447,-1.11234,0.179022,1.76699,1.66222,0.174973
-1.11429,-1.11203,0.17923,1.76707,1.66196,0.175186
-1.11411,-1.11171,0.180153,1.76715,1.6617,0.175434
-1.11393,-1.11141,0.180304,1.76723,1.66144,0.175678
-1.11375,-1.11112,0.180738,1.76731,1.66121,0.175931
-1.11357,-1.11086,0.180423,1.76739,1.661,0.176155
-1.11339,-1.11057,0.18056,1.76746,1.66077,0.176375
-1.11321,-1.11028,0.180255,1.76754,1.66059,0.176569
-1.11303,-1.10996,0.1804,1.76763,1.66033,0.176761
-1.11287,-1.10964,0.180538,1.76773,1.6601,0.17695
-1.1127,-1.10935,0.179798,1.76783,1.6599,0.177092
-1.11253,-1.10906,0.17953,1.76793,1.65969,0.177214
-1.11236,-1.10877,0.178403,1.76803,1.65949,0.177274
-1.1122,-1.10851,0.177043,1.76813,1.65934,0.177262
-1.11203,-1.10822,0.175314,1.76823,1.65917,0.177165
-1.11186,-1.10793,0.174398,1.76833,1.659,0.177026
-1.1117,-1.10769,0.173237,1.76843,1.65888,0.176837
-1.11153,-1.1074,0.171699,1.76853,1.65873,0.17658
-1.11136,-1.10717,0.169801,1.76863,1.65868,0.176241
-1.11119,-1.10688,0.167998,1.76873,1.65856,0.175829
-1.11103,-1.10662,0.167157,1.76883,1.65847,0.175395
-1.11086,-1.10636,0.167085,1.76893,1.65841,0.17498
-1.11069,-1.10609,0.167017,1.76903,1.65836,0.174582
-1.11052,-1.1058,0.166226,1.76913,1.6583,0.174164
-1.11036,-1.10551,0.165037,1.76923,1.65827,0.173707
-1.11019,-1.10525,0.164636,1.76933,1.65827,0.173254
-1.11002,-1.10499,0.163963,1.76943,1.65836,0.172789
-1.10985,-1.10473,0.163615,1.76953,1.65841,0.172331
-1.10968,-1.10447,0.162557,1.76963,1.65853,0.171842
-1.10952,-1.1042,0.161989,1.76973,1.65868,0.171349
-1.10935,-1.10397,0.161449,1.76983,1.65888,0.170854
-1.10918,-1.10371,0.160935,1.76993,1.65911,0.170358
-1.10901,-1.10345,0.160448,1.77003,1.65934,0.169863
-1.10884,-1.10319,0.159985,1.77012,1.65966,0.169369
-1.10868,-1.10295,0.159109,1.77022,1.66004,0.168856
-1.10851,-1.10269,0.158712,1.77032,1.66045,0.168349
-1.10834,-1.10246,0.157464,1.77042,1.66089,0.167804
-1.10817,-1.1022,0.155842,1.77052,1.66138,0.167206
-1.108,-1.10199,0.1543,1.77062,1.66193,0.166561
-1.10783,-1.10176,0.152836,1.77072,1.66254,0.165875
-1.10767,-1.10153,0.152318,1.77082,1.66321,0.165197
-1.1075,-1.1013,0.152261,1.77091,1.66394,0.16455
-1.10733,-1.10106,0.151771,1.77101,1.66475,0.163911
-1.10716,-1.1008,0.150143,1.77111,1.66557,0.163223
-1.10699,-1.10057,0.148887,1.77121,1.66644,0.162506
-1.10682,-1.10031,0.149001,1.77131,1.66728,0.161831
-1.10665,-1.10008,0.149111,1.7714,1.66821,0.161195
-1.10648,-1.09981,0.149214,1.7715,1.66914,0.160596
-1.10632,-1.09958,0.148005,1.7716,1.67013,0.159966
-1.10615,-1.09932,0.147728,1.7717,1.671,0.159354
-1.10598,-1.09909,0.147464,1.7718,1.6719,0.15876
-1.10581,-1.09883,0.147214,1.77189,1.67272,0.158182
-1.10564,-1.09859,0.146104,1.77199,1.6735,0.157579
-1.10547,-1.09833,0.146649,1.77209,1.67423,0.157032
-1.1053,-1.09807,0.14644,1.77219,1.67487,0.156502
-1.10513,-1.09781,0.146241,1.77228,1.67545,0.155989
-1.10496,-1.09758,0.146052,1.77238,1.676,0.155493
-1.10479,-1.09731,0.1466,1.77248,1.67647,0.155048
-1.10462,-1.09705,0.146829,1.77258,1.67691,0.154637
-1.10445,-1.09676,0.147773,1.77267,1.67725,0.154294
-1.10428,-1.0965,0.148235,1.77277,1.67752,0.153991
-1.10411,-1.09624,0.149109,1.77287,1.67772,0.153747
-1.10394,-1.09598,0.149213,1.77296,1.67789,0.15352
-1.10377,-1.09571,0.149602,1.77306,1.67801,0.153324
-1.1036,-1.09545,0.150408,1.77316,1.6781,0.153178
-1.10343,-1.09519,0.150447,1.77325,1.67816,0.153042
-1.10326,-1.09493,0.150048,1.77335,1.67818,0.152892
-1.1031,-1.09467,0.150105,1.77346,1.67821,0.152753
-1.10294,-1.09441,0.15045,1.77357,1.67818,0.152638
-1.10278,-1.09412,0.150777,1.77369,1.67816,0.152545
-1.10262,-1.09385,0.151088,1.7738,1.67816,0.152472
-1.10246,-1.09359,0.15182,1.77392,1.67816,0.152439
-1.1023,-1.0933,0.152951,1.77403,1.67813,0.152465
-1.10215,-1.09301,0.15359,1.77415,1.67813,0.152521
-1.10199,-1.09272,0.154196,1.77426,1.67816,0.152605
-1.10183,-1.09243,0.154337,1.77437,1.67821,0.152691
-1.10167,-1.09214,0.154906,1.77449,1.67827,0.152802
-1.10151,-1.09185,0.155447,1.7746,1.67842,0.152934
