torque_1,torque_1_t,torque_2,torque_2_t
0.0455407,0.525,0.221721,-1.15938
0.0465907,-0.13125,0.221921,0.04375
0.0475907,0.284375,0.222121,-0.30625
0.0485907,0.021875,0.222321,-0.021875
0.0496407,-0.021875,0.222521,-0.153125
0.0506407,0.175,0.222721,0
0.0516907,0.284375,0.222921,-0.021875
0.0526907,0,0.223121,-0.065625
0.0537407,0.0875,0.223176,-0.175
0.0547407,-0.065625,0.223376,0.04375
0.0557907,-0.2625,0.223526,0
0.0567907,0.284375,0.223726,-0.13125
0.0577907,0.021875,0.223926,-0.153125
0.0588407,0.284375,0.224126,-0.284375
0.0598407,0.415625,0.224326,-0.175
0.0608907,-0.04375,0.224526,-0.04375
0.0618907,-0.021875,0.224726,-0.175
0.0629407,0.284375,0.224876,-0.021875
0.0639407,0.284375,0.225076,-0.371875
0.0649907,0.328125,0.225276,-0.4375
0.0659907,0,0.225476,-0.04375
0.0670407,0,0.225676,-0.371875
0.0680407,-0.04375,0.225826,-0.371875
0.0690907,0.284375,0.226026,-0.39375
0.0700907,0.284375,0.226081,-0.109375
0.0711407,0.30625,0.226281,-0.153125
0.0721407,0.0875,0.226431,-0.371875
0.0730907,0.065625,0.226731,-0.0875
0.0740407,0.30625,0.227081,-0.525
0.0749907,0.2625,0.227431,0
0.0759407,-0.021875,0.227731,-0.415625
0.0768407,0.371875,0.228081,0.021875
0.0777907,0.065625,0.228431,-0.525
0.0787407,-0.021875,0.228731,-0.065625
0.0796407,0,0.229081,-0.13125
0.0805907,0.284375,0.229381,-0.415625
0.0815407,0,0.229731,-0.503125
0.0824907,0.153125,0.230081,-0.0875
0.0833907,0.284375,0.230381,-0.546875
0.0843407,0.2625,0.230731,-0.04375
0.0852907,-0.021875,0.231031,-0.21875
0.0862407,0.284375,0.231381,-0.39375
0.0871907,-0.0875,0.231681,0.13125
0.0880907,-0.175,0.232031,0
0.0890407,0.284375,0.232331,-0.0875
0.0899907,0.04375,0.232681,-0.021875
0.0909407,0.284375,0.233031,0
0.0918907,-0.153125,0.233331,-0.284375
0.0927907,0.371875,0.233681,-0.503125
0.0937407,0.021875,0.233981,-0.04375
0.0946907,-0.065625,0.234281,-0.39375
0.0956407,0,0.234631,-0.328125
0.0965907,0.284375,0.234931,0
0.0974907,-0.0875,0.235281,-0.415625
0.0984407,0.284375,0.235581,-0.13125
0.0993907,0.35,0.235931,-0.065625
0.100341,0,0.236231,-0.021875
0.101291,0.284375,0.236581,-0.56875
0.102241,0.415625,0.236881,-0.415625
0.103141,-0.021875,0.237181,-0.04375
0.104091,0.284375,0.237531,-0.175
0.105041,0.284375,0.237831,0.021875
0.105991,0.284375,0.238181,-0.021875
0.106891,0.284375,0.238531,-0.0875
0.107791,0.021875,0.238931,-0.56875
0.108691,0.284375,0.239331,-0.153125
0.109591,0,0.239681,0
0.110491,0.284375,0.240081,-0.4375
0.111391,0.284375,0.240481,-0.04375
0.112291,0,0.240881,-0.503125
0.113191,0.284375,0.241281,-0.371875
0.114091,0,0.241681,-0.021875
0.114991,0.021875,0.242031,-0.109375
0.115891,0.284375,0.242431,-0.153125
0.116791,-0.04375,0.242831,0.065625
0.117691,0.284375,0.243231,-0.56875
0.118591,0,0.243631,-0.065625
0.119491,0,0.243981,-0.415625
0.120391,0.284375,0.244381,-0.546875
0.121291,0.284375,0.244781,-0.065625
0.122191,0.04375,0.245181,-0.04375
0.123091,0.284375,0.245531,-0.415625
0.123991,0,0.245931,-0.30625
0.124891,-0.021875,0.246331,-0.328125
0.125791,0.284375,0.246731,-0.0875
0.126691,0.196875,0.246935,-0.065625
0.127591,0.284375,0.247335,-0.04375
0.128541,0.284375,0.247735,-0.415625
0.129441,0.30625,0.248085,-0.021875
0.130341,-0.04375,0.248485,-0.6125
0.131241,0.021875,0.248885,-0.153125
0.132141,0.284375,0.249235,-0.2625
0.133041,0.284375,0.249635,0.109375
0.133941,0.175,0.250035,-0.546875
0.134841,0.04375,0.250385,-0.4375
0.135741,0.021875,0.250785,-0.065625
0.136641,0,0.251185,-0.065625
0.137541,0.30625,0.251535,-0.546875
0.138491,0,0.251935,-0.525
0.139391,0.30625,0.252285,0.065625
0.140291,0.371875,0.252685,-0.546875
0.141191,0.35,0.253085,-0.371875
