angle_1,angle_1_t,angle_2,angle_2_t
-0.41198,-0.413783,1.77506,1.77454
-0.41231,-0.413783,1.77523,1.77454
-0.41265,-0.413783,1.77541,1.77454
-0.41298,-0.413783,1.77558,1.77454
-0.41332,-0.413783,1.77575,1.77454
-0.41365,-0.413783,1.77593,1.77448
-0.41398,-0.413812,1.7761,1.77451
-0.41432,-0.413812,1.77627,1.77451
-0.41465,-0.413812,1.77645,1.77451
-0.41499,-0.413812,1.77662,1.77451
-0.41532,-0.413812,1.77679,1.77451
-0.41565,-0.413812,1.77696,1.77451
-0.41599,-0.413812,1.77714,1.77451
-0.41632,-0.41387,1.77731,1.77454
-0.41665,-0.41387,1.77748,1.77454
-0.41699,-0.41387,1.77765,1.77454
-0.41732,-0.41387,1.77783,1.77454
-0.41766,-0.41387,1.778,1.77454
-0.41799,-0.41387,1.77817,1.77454
-0.41832,-0.41387,1.77834,1.77454
-0.41866,-0.41387,1.77851,1.77454
-0.41899,-0.41387,1.77868,1.77454
-0.41933,-0.413899,1.77885,1.77457
-0.41966,-0.413899,1.77902,1.77457
-0.41999,-0.413899,1.7792,1.77457
-0.42033,-0.413928,1.77937,1.77459
-0.42066,-0.413928,1.77954,1.77459
-0.421,-0.413928,1.77971,1.77459
-0.42133,-0.413957,1.77988,1.77462
-0.42166,-0.413986,1.78005,1.77465
-0.422,-0.414015,1.78022,1.77468
-0.42233,-0.414015,1.78039,1.77468
-0.42267,-0.414015,1.78056,1.77468
-0.423,-0.414044,1.78073,1.77471
-0.42333,-0.414073,1.7809,1.77474
-0.42367,-0.414132,1.78107,1.7748
-0.424,-0.414132,1.78124,1.7748
-0.42434,-0.414132,1.7814,1.7748
-0.42467,-0.41419,1.78157,1.77486
-0.425,-0.41419,1.78174,1.77486
-0.42534,-0.414219,1.78191,1.77488
-0.42567,-0.414248,1.78208,1.77491
-0.426,-0.414277,1.78225,1.77494
-0.42634,-0.414335,1.78242,1.775
-0.42667,-0.414364,1.78259,1.77503
-0.42701,-0.414393,1.78275,1.77506
-0.42734,-0.414422,1.78292,1.77509
-0.42767,-0.414451,1.78309,1.77512
-0.42801,-0.414539,1.78326,1.7752
-0.42834,-0.414597,1.78342,1.77523
-0.42868,-0.414684,1.78359,1.77532
