torque_1,torque_1_t,torque_2,torque_2_t
-0.274399,17.1499,0.224756,14.0472
-0.510073,31.8795,0.22126,13.8288
-0.501524,31.3453,0.206426,12.9016
-0.398776,24.9235,0.209182,13.0739
-0.479776,29.986,0.183531,11.4707
-0.409591,25.5994,0.175674,10.9796
-0.433606,27.1004,0.161712,10.107
-0.200206,12.5129,0.146733,9.17079
-0.34168,21.355,0.137945,8.62154
-0.330806,20.6754,0.130234,8.13959
-0.414132,25.8832,0.113655,7.10343
-0.160199,10.0124,0.0998381,6.23988
-0.172584,10.7865,0.0906733,5.66708
-0.16171,10.1069,0.0880502,5.50314
-0.128739,8.0462,0.0723437,4.52148
-0.362087,22.6305,0.0621613,3.88508
-0.225613,14.1008,0.0550317,3.43948
-0.377554,23.5971,0.0477567,2.98479
-0.180606,11.2879,0.0346669,2.16668
-0.22788,14.2425,0.025502,1.59388
-0.310043,19.3777,0.018227,1.13919
-0.277073,17.317,0.00717241,0.448275
-0.103384,6.46148,0.00454926,0.284329
-0.0925096,5.78185,-0.0038887,-0.243044
-0.26771,16.7319,-0.0140711,-0.879444
-0.130073,8.12954,-0.0306498,-1.91561
-0.248287,15.518,-0.0316739,-1.97962
-0.273465,17.0916,-0.0518869,-3.24293
-0.204443,12.7777,-0.0617193,-3.85745
-0.216828,13.5518,-0.0708841,-4.43025
-0.205954,12.8721,-0.0810665,-5.06666
-0.0450578,2.81611,-0.0809276,-5.05797
-0.16211,10.1319,-0.0928544,-5.8034
-0.11751,7.34435,-0.101669,-6.35433
-0.164784,10.299,-0.118393,-7.39958
-0.191124,11.9453,-0.115492,-7.21828
-0.123265,7.70407,-0.135355,-8.45971
-0.13565,8.47815,-0.14452,-9.03251
0.118283,-7.39269,-0.152667,-9.54171
-0.0929689,5.81056,-0.1625,-10.1562
0.0214089,-1.33806,-0.170647,-10.6654
-0.0979689,6.12306,-0.177777,-11.111
-0.0882578,5.51611,-0.185574,-11.5984
-0.0203985,1.27491,-0.188924,-11.8077
-0.0467393,2.9212,-0.201518,-12.5949
-0.0591244,3.69528,-0.210683,-13.1677
0.0424607,-2.6538,-0.217463,-13.5914
-0.111806,6.98787,-0.224592,-14.037
0.06072,-3.795,-0.23239,-14.5244
-0.00050963,0.0318519,-0.239519,-14.97
0.00803852,-0.502407,-0.246299,-15.3937
-0.112502,7.03139,-0.252411,-15.7757
0.0235719,-1.47324,-0.259191,-16.1994
-0.060917,3.80731,-0.26597,-16.6231
-0.0535319,3.34574,-0.272082,-17.0051
-0.0449837,2.81148,-0.278862,-17.4289
-0.0724874,4.53046,-0.284624,-17.789
0.00583852,-0.364907,-0.291754,-18.2346
-0.0798133,4.98833,-0.297516,-18.5947
-0.0491689,3.07306,-0.303278,-18.9548
-0.0429467,2.68417,-0.308372,-19.2733
-0.0937096,5.85685,-0.314134,-19.6334
-0.0529985,3.31241,-0.318879,-19.9299
-0.0805022,5.03139,-0.324641,-20.29
0.018757,-1.17231,-0.329385,-20.5866
-0.00874667,0.546667,-0.335497,-20.9686
-0.13045,8.15315,-0.340241,-21.2651
-0.0893393,5.5837,-0.344986,-21.5616
-0.0133393,0.833704,-0.34973,-21.8581
