angle_1,angle_2
-1.07862,1.77611
-1.07862,1.77611
-1.07862,1.77611
-1.07862,1.77611
-1.07862,1.77605
-1.07862,1.77599
-1.07862,1.7759
-1.07862,1.77579
-1.07862,1.77567
-1.07862,1.77555
-1.07862,1.77544
-1.07862,1.77529
-1.07862,1.77518
-1.07862,1.77506
-1.07862,1.77491
-1.07862,1.77477
-1.07862,1.77465
-1.07862,1.77456
-1.07862,1.77445
-1.07862,1.77436
-1.07862,1.7743
-1.07862,1.77424
-1.07862,1.77419
-1.07862,1.77416
-1.07862,1.77413
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.7741
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77413
-1.07862,1.77416
-1.07862,1.77416
-1.07862,1.77416
-1.07862,1.77416
-1.07862,1.77416
-1.07862,1.77416
-1.07862,1.77416
-1.07862,1.77416
