torque_1,torque_2
0.36854,-0.98749
0.36469,-0.98899
0.36084,-0.99079
0.35699,-0.992299
0.35314,-0.995834
0.34929,-0.992692
0.34544,-0.995073
0.34159,-0.994829
0.33739,-0.991396
0.33354,-0.99116
0.32969,-0.990044
0.32584,-0.98661
0.32199,-0.983177
0.319157,-0.980316
0.315307,-0.977464
0.334221,-0.971986
0.331389,-0.969425
0.321579,-0.967155
0.326741,-0.959351
0.323909,-0.953883
0.323112,-0.950159
0.316441,-0.941192
0.324947,-0.937468
0.319643,-0.929373
0.317829,-0.921579
0.30671,-0.911749
0.314199,-0.901038
0.316541,-0.891499
0.314726,-0.882242
0.300118,-0.870377
0.308625,-0.86142
0.310299,-0.84722
0.29322,-0.832447
0.303848,-0.822609
0.303051,-0.808709
0.29295,-0.798879
0.276016,-0.785551
0.296298,-0.773977
0.282358,-0.76094
0.294354,-0.74704
0.292539,-0.734594
0.281275,-0.719812
0.295741,-0.705912
0.287762,-0.691712
0.263851,-0.679557
0.280643,-0.663903
0.260221,-0.65291
0.264221,-0.642499
0.27732,-0.625973
0.26373,-0.618179
0.273691,-0.610084
0.251088,-0.597347
0.257559,-0.590125
0.261354,-0.580586
0.238897,-0.57192
0.235047,-0.561499
0.231197,-0.55196
0.226997,-0.542994
0.223147,-0.531129
0.219297,-0.523034
0.215447,-0.51524
0.211247,-0.506273
0.207397,-0.497897
0.203547,-0.491838
0.198679,-0.484334
0.194479,-0.48002
0.167516,-0.479203
0.185762,-0.476351
0.169265,-0.476979
0.176694,-0.479651
0.172844,-0.481151
0.167977,-0.48237
0.164127,-0.484451
0.159927,-0.486251
0.156077,-0.487751
0.152227,-0.489551
0.148377,-0.491051
0.144177,-0.492851
0.140327,-0.494351
0.136477,-0.496151
0.132277,-0.497651
0.128427,-0.497997
0.124577,-0.501823
0.120727,-0.503623
0.116527,-0.505123
0.112677,-0.506923
0.108827,-0.508423
0.104627,-0.510223
0.100777,-0.511723
0.0969267,-0.513523
0.0930767,-0.515023
0.0888767,-0.516523
0.0850267,-0.518323
0.0811767,-0.519823
0.0769767,-0.521623
0.0731267,-0.523123
0.0692767,-0.524923
0.0650767,-0.526423
0.0612267,-0.528223
0.0573767,-0.529723
0.0535267,-0.531523
0.0493267,-0.533023
0.0454767,-0.534523
0.0416267,-0.536323
0.0374267,-0.537823
0.0335767,-0.539623
0.0297267,-0.541123
0.0255267,-0.542923
0.0216767,-0.544423
0.0178267,-0.546223
0.0136267,-0.547723
0.00977667,-0.549223
0.00592667,-0.551023
0.00172667,-0.552523
-0.00212333,-0.554323
-0.00597333,-0.555823
-0.0101733,-0.557623
-0.0140233,-0.559123
-0.0182233,-0.560623
-0.0220733,-0.562423
-0.0259233,-0.563923
-0.0301233,-0.565723
-0.0339733,-0.567223
-0.0378233,-0.568723
-0.0420233,-0.570523
-0.0458733,-0.572023
-0.0497233,-0.573823
-0.0539233,-0.575323
-0.0577733,-0.576823
-0.0619733,-0.578623
-0.0658233,-0.580123
-0.0696733,-0.581051
-0.0738733,-0.582551
-0.0777233,-0.584051
-0.0815733,-0.585851
-0.0857733,-0.587351
-0.0896233,-0.588851
-0.0938233,-0.590651
-0.0976733,-0.592151
-0.101523,-0.593951
-0.105723,-0.595451
-0.109573,-0.596951
-0.113773,-0.598751
-0.117623,-0.600251
-0.121473,-0.601751
-0.125673,-0.603551
